;,;,"2016 CEC Nonresidential (15 Year) TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,AEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,SAC - 7/30/14 - updated Res table w/ Nonres values & updated format/structure to be consistent w/ other data model ruleset tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,Note:  Different UNITS here vs. in Res table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,"RLH - 2/5/16 - Updated data from original spreadsheet.  Pasted in (as values) data from ""For CBECC-Com 15yr"" tab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
;,; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
TABLE TDVbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
,Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
,10101,16.32,171.25,321.71,16.24,171.25,321.71,16.26,171.25,321.71,16.25,171.25,321.71,16.34,171.25,321.71,15.94,173.69,321.71,16.32,176.34,321.71,15.96,173.69,321.71,15.82,173.69,321.71,15.79,173.69,321.71,16.27,171.25,321.71,16.28,171.25,321.71,16.25,171.25,321.71,15.79,173.69,321.71,15.82,173.69,321.71,15.75,173.69,321.71
,10102,16.01,171.25,321.71,15.92,171.25,321.71,15.94,171.25,321.71,15.93,171.25,321.71,16.02,171.25,321.71,15.6,173.69,321.71,15.98,176.34,321.71,15.63,173.69,321.71,15.48,173.69,321.71,15.45,173.69,321.71,15.96,171.25,321.71,15.96,171.25,321.71,15.94,171.25,321.71,15.45,173.69,321.71,15.49,173.69,321.71,15.41,173.69,321.71
,10103,15.78,171.25,321.71,15.7,171.25,321.71,15.72,171.25,321.71,15.71,171.25,321.71,15.8,171.25,321.71,15.41,173.69,321.71,15.79,176.34,321.71,15.43,173.69,321.71,15.29,173.69,321.71,15.26,173.69,321.71,15.74,171.25,321.71,15.74,171.25,321.71,15.72,171.25,321.71,15.26,173.69,321.71,15.29,173.69,321.71,15.21,173.69,321.71
