;,;,"2019 CEC Nonresidential (15 Year) TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Source:,,AEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,Last modified:,,SAC - 7/30/14 - updated Res table w/ Nonres values & updated format/structure to be consistent w/ other data model ruleset tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,,Note:  Different UNITS here vs. in Res table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,"RLH - 2/5/16 - Updated data from original spreadsheet.  Pasted in (as values) data from ""For CBECC-Com 15yr"" tab",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,,,RLH - 7/27/16 - Updated data to 2019 from 2019_TDV_Results_20160720.xlsx.  NOTE:  Data to be used with calendar year 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
;,; MoDaHr,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm,kTDV/kWh,kTDV/thrm,kTDV/thrm
TABLE TDVbyCZandFuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MoDaHr,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV,TDV
,CZ=,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16
,Fuel=,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
,10101,24.96,208.41,419.45,24.71,208.41,419.45,24.87,208.41,419.45,24.85,208.41,419.45,24.87,208.41,419.45,24.81,210.88,419.45,24.84,213.58,419.45,24.77,210.88,419.45,24.75,210.88,419.45,24.75,210.88,419.45,24.84,208.41,419.45,24.84,208.41,419.45,25.13,208.41,419.45,24.9,210.88,419.45,24.9,210.88,419.45,25.61,210.88,419.45
,10102,24.71,208.41,419.45,24.46,208.41,419.45,24.62,208.41,419.45,24.6,208.41,419.45,24.62,208.41,419.45,24.5,210.88,419.45,24.53,213.58,419.45,24.46,210.88,419.45,24.44,210.88,419.45,24.44,210.88,419.45,24.59,208.41,419.45,24.59,208.41,419.45,24.88,208.41,419.45,24.59,210.88,419.45,24.59,210.88,419.45,25.3,210.88,419.45
,10103,24.59,208.41,419.45,24.34,208.41,419.45,24.5,208.41,419.45,24.48,208.41,419.45,24.5,208.41,419.45,24.36,210.88,419.45,24.39,213.58,419.45,24.32,210.88,419.45,24.3,210.88,419.45,24.3,210.88,419.45,24.47,208.41,419.45,24.46,208.41,419.45,24.75,208.41,419.45,24.45,210.88,419.45,24.45,210.88,419.45,25.16,210.88,419.45
