TABLE SpaceFunctionGroups,,,,,,,,,,,,,,
,FuncGroup,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef
//,Function Group Name,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Process Gas Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule
,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt
,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt
,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt
,Laboratory,LabOccupancy,LabReceptacle,LabServiceHotWater,LabLights,LabGasEquip,LabRefrigeration,LabInfiltration,LabHVACAvail,LabHtgSetpt,LabClgSetpt,LabElevator,LabEscalator,LabWtrHtrSetpt
,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt
,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt
,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt
,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt
,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt
,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt
,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt
,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt
,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt
ENDTABLE,,,,,,,,,,,,,,
