TABLE BldgUseData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BldgType,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHtgRt,IntLPDReg,CodeVentPerArea,CodeTotalVentPerArea,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef
,//Complete Building,# per 1000 ft²,,Btu / occupant,Btu / occupant,Load W/ft²,Gal/h per person,W/ft²,CFM/ft²,CFM/ft²,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,0,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule
,Auditorium Building,143,1,245,105,1,0.09,1.5,0.15,1.07,150,150,0,0,NA,NA,NA,NA,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt
,Classroom Building,40,0.5,246,171,1,0.162,1.1,0.15,0.32,150,150,0,0,NA,NA,NA,NA,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt
,Commercial and Industrial Storage Building,5,0.5,268,403,0.43,0.162,0.6,0.15,0.15,150,150,0,0.28,NA,NA,NA,NA,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt
,Convention Center Building,136,0.5,245,112,0.96,0.086,1.2,0.15,1.02,150,150,0.04,0.03,NA,NA,NA,NA,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt
,Data Center Buildings,5,0.5,268,403,20,0.162,0.8,0.15,0.15,150,150,0,0,NA,NA,NA,NA,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt
,Financial Institution Building,10,0.5,250,250,1.5,0.18,1.1,0.15,0.15,150,150,0,0,NA,NA,NA,NA,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt
,General Commercia' or Industrial Work Building,7,0.5,375,625,1,0.18,1,0.15,0.15,150,150,0,0.28,NA,NA,NA,NA,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt
,Grocery Store Buildings,29,0.5,252,225,0.91,0.17,1.5,0.15,0.22,150,150,0.03,1.8,NA,NA,NA,NA,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt
,Library Building,10,0.5,250,250,1.5,0.18,1.3,0.15,0.15,150,150,0,0,NA,NA,NA,NA,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt
