TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHtgRt,IntLPDReg,CodeVentPerArea,CodeTotalVentPerArea,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,; 
,//SpaceBySpace,# per 1000 ft�,,Btu / occupant,Btu / occupant,Load W/ft�,Gal/h per person,W/ft�,CFM/ft�,CFM/ft�,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,,; 
,Auditorium Area,142.86,0.5,245,105,1,0.09,1.5,0.15,1.071428571,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,101,; 
,Auto Repair Area,10,0.5,275,475,1,0.18,0.9,1.5,1.5,150,150,0.75064,0,200,1500,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,102,; 
,"Bar, Cocktail Lounge and Casino Areas",66.67,0.5,275,275,1,0.18,1.1,0.2,0.5,150,150,0,1.12,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,103,; 
,Beauty Salon Area,10,0.5,250,200,2,0.18,1.7,0.4,0.4,150,150,0,0,500,500,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,104,; 
,"Classrooms, Lecture, Training, Vocational Areas",50,0.5,245,155,1,0.18,1.2,0.15,0.375,150,150,0,0,50,500,1.5,2,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt,105,; 
,Civic Meeting Place Area,66.67,0.5,250,200,1.5,0.18,1.3,0.15,0.5,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,106,; 
,Commercial and Industrial Storage Areas (conditioned or unconditioned),2,0.5,275,475,0.2,0.18,0.6,0.15,0.15,8760,8760,0,0,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,107,; 
,Commercial and Industrial Storage Areas (refrigerated),0,0.5,275,475,0.2,0.18,0.7,0.15,0.15,8760,8760,0,10,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,108,; 
,Computer Room,3,0.5,275,475,20,0.18,0.8,0.15,0.15,150,150,0,0,75,300,1,4,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt,109,; 
,"Convention, Conference, Multipurpose and Meeting Center Areas",66.67,0.5,245,155,1,0.09,1.4,0.15,0.5,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,110,; 
,"Corridors, Restrooms, Stairs, and Support Areas",10,0.5,250,250,0.2,0,0.6,0.15,0.15,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,111,; 
,Dining Area,66.67,0.5,275,275,0.5,0.578,1.1,0.15,0.5,150,150,0,0,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,112,; 
,Dry Cleaning (Coin Operated),10,0.5,250,250,3,0.18,0.9,0.3,0.3,150,150,0.75064,0,300,300,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,113,; 
,Dry Cleaning (Full Service Commercial),10,0.5,250,250,3,0.18,0.9,0.45,0.45,150,150,0.75064,0,300,300,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,114,; 
