;,CEC 2013 Nonresdiential ACM Ruleset,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,
;,,BaseVerticalFenPerf,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,
;,,10/4/2012,D. Reddy,Initial ruleset setup,,,,,,,,,,,,
;,,10/21/2012,D. Reddy,"Consolidated to have one table for NRes, Res, and RelocClass.  Add Warning codes",,,,,,,,,,,,
;,,11/4/2012,L. Hovee,Updated to Reflect Standards Table format,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,STANDARDS/ACM REFERENCE(S):,,,,,,,,,,,,,,,
;,,TABLE 140.3-B - PRESCRIPTIVE ENVELOPE CRITERIA FOR NONRESIDENTIAL BUILDINGS (vertical fenestration),,,,,,,,,,,,,,
;,,TABLE 140.3-C - PRESCRIPTIVE ENVELOPE CRITERIA FOR HIGH-RISE RESIDENTIAL BUILDINGS AND GUEST ROOMS OF HOTEL/MOTEL BUILDINGS (vertical fenestration),,,,,,,,,,,,,,
;,,TABLE 140.3-D - PRESCRIPTIVE ENVELOPE CRITERIA FOR RELOCATABLE PUBLIC SCHOOL BUILDINGS FOR USE IN ALL CLIMATE ZONES (vertical fenestration),,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,NOTES:,,,,,,,,,,,,,,,
;,,Maximum 'Window to Wall Ratio' (WWR%) is 40%.,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,SYNTAX EXAMPLES:,,,,,,,,,,,,,,,
;,,TO DO: Review SDD terms and update independent values and syntax examples as necessary.,,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.UFactor(ProductType=u.ProductType),,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.SHGC(ProductType=u.ProductType),,,,,,,,,,,,,,
;,,BaseNonResVertFenPerf.VT(ProductType=u.ProductType),,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,
,TABLE BaseVerticalFenPerformance,,,,,,,,,,,,,,,
,,OccupancyClass,UFactor,SHGC,VT,UFactor,SHGC,VT,UFactor,SHGC,VT,UFactor,SHGC,VT,,
,,ProductType=,FixedWindow,FixedWindow,FixedWindow,OperableWindow,OperableWindow,OperableWindow,CurtainWall,CurtainWall,CurtainWall,GlazedDoor,GlazedDoor,GlazedDoor,,
,,Other,0.36,0.25,0.42,0.46,0.22,0.32,0.41,0.26,0.46,0.45,0.23,0.17,,
,,RelocClass,0.47,0.26,999,0.47,0.26,999,0.47,0.26,999,0.45,0.23,999,,
,ENDTABLE,,,,,,,,,,,,,,,
;,,999 = No Requirement - Will be set equal to proposed design,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
