;,2019 CEC Non-Residential 15 yr Electric Demand Hourly Multipliers,,
;,Source:,,"Elec Demand Factors (col S) of 2019CalBldEffStdTDV7-20-16wDFgen.xlsx, Elec Non-Res (15 Year) tab"
;,Last modified:,,RLH - 2016-09-23
;,,,
;,Demand,,
;,Factor,,
; MoDaHr,(mult),,
10101,0,,
10102,0,,
10103,0,,
10104,0,,
10105,0,,
10106,0,,
10107,0,,
10108,0,,
10109,0,,
10110,0,,
10111,0,,
10112,0,,
10113,0,,
10114,0,,
10115,0,,
10116,0,,
10117,0,,
10118,0,,
10119,0,,
10120,0,,
10121,0,,
10122,0,,
10123,0,,
10124,0,,
10201,0,,
10202,0,,
10203,0,,
10204,0,,
10205,0,,
10206,0,,
10207,0,,
10208,0,,
10209,0,,
10210,0,,
10211,0,,
10212,0,,
10213,0,,
10214,0,,
10215,0,,
10216,0,,
10217,0,,
10218,0,,
10219,0,,
10220,0,,
10221,0,,
10222,0,,
10223,0,,
10224,0,,
10301,0,,
10302,0,,
10303,0,,
10304,0,,
10305,0,,
10306,0,,
10307,0,,
10308,0,,
10309,0,,
10310,0,,
10311,0,,
10312,0,,
10313,0,,
10314,0,,
10315,0,,
10316,0,,
10317,0,,
10318,0,,
10319,0,,
10320,0,,
10321,0,,
10322,0,,
10323,0,,
10324,0,,
10401,0,,
10402,0,,
10403,0,,
10404,0,,
10405,0,,
10406,0,,
10407,0,,
10408,0,,
10409,0,,
10410,0,,
10411,0,,
10412,0,,
10413,0,,
10414,0,,
10415,0,,
10416,0,,
10417,0,,
10418,0,,
10419,0,,
10420,0,,
10421,0,,
10422,0,,
10423,0,,
10424,0,,
10501,0,,
10502,0,,
10503,0,,
10504,0,,
10505,0,,
10506,0,,
10507,0,,
10508,0,,
10509,0,,
10510,0,,
10511,0,,
10512,0,,
10513,0,,
10514,0,,
10515,0,,
10516,0,,
10517,0,,
10518,0,,
10519,0,,
10520,0,,
10521,0,,
10522,0,,
10523,0,,
10524,0,,
10601,0,,
10602,0,,
10603,0,,
10604,0,,
10605,0,,
10606,0,,
10607,0,,
10608,0,,
10609,0,,
10610,0,,
10611,0,,
10612,0,,
