;,CEC 2013 Nonresdiential ACM Ruleset,,,,,,,,,,
;,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,
;,,DefaultFenestrationSHGC,,,,,,,,,
;,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,
;,,11/4/2012,L. Hovee,Added,,,,,,,
;,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,
;,,TABLE 110.6-B - DEFAULT FENESTRATION PRODUCT SHGC,,,,,,,,,
;,,,,,,,,,,,
;,Notes:,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,
;,,TO DO: Review SDD terms and update independent values and syntax examples as necessary.,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,
,TABLE DefaultFenestrationSHGC,,,,,,,,,,
,,FenestrationFraming,ProductType,GlazingTint,SHGC,SHGC,SHGC,SHGC,,,
,,Panes=,,,SinglePane,DoublePane ,GlassBlock,TranslucentOrTransparentPanel,,,
,,MetalFraming,OperableWindow,ClearGlazing,0.80,0.70,0.70,0.70,,,
,,MetalFraming,FixedWindow,ClearGlazing,0.83,0.73,0.73,0.73,,,
,,MetalFraming,GlazedDoor,ClearGlazing,0.80,0.70,0.70,0.70,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFraming,CurtainWall,ClearGlazing,0.83,0.73,0.73,0.73,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFraming,OperableWindow,TintedGlazing,0.67,0.59,Error1,Error1,,,
,,MetalFraming,FixedWindow,TintedGlazing,0.68,0.60,Error1,Error1,,,
,,MetalFraming,GlazedDoor,TintedGlazing,0.67,0.59,Error1,Error1,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFraming,CurtainWall,TintedGlazing,0.68,0.60,Error1,Error1,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFramingWithThermalBreak,OperableWindow,ClearGlazing,Error2,0.63,Error2,Error2,,,
,,MetalFramingWithThermalBreak,FixedWindow,ClearGlazing,Error2,0.69,Error2,Error2,,,
,,MetalFramingWithThermalBreak,GlazedDoor,ClearGlazing,Error2,0.63,Error2,Error2,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFramingWithThermalBreak,CurtainWall,ClearGlazing,Error2,0.69,Error2,Error2,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFramingWithThermalBreak,OperableWindow,TintedGlazing,Error2,0.53,Error2,Error2,,,
,,MetalFramingWithThermalBreak,FixedWindow,TintedGlazing,Error2,0.57,Error2,Error2,,,
,,MetalFramingWithThermalBreak,GlazedDoor,TintedGlazing,Error2,0.53,Error2,Error2,; Added this row for consistancy with SDD 'ProductType',,
,,MetalFramingWithThermalBreak,CurtainWall,TintedGlazing,Error2,0.57,Error2,Error2,; Added this row for consistancy with SDD 'ProductType',,
,,NonMetalFraming,OperableWindow,ClearGlazing,0.74,0.65,0.70,0.70,,,
,,NonMetalFraming,FixedWindow,ClearGlazing,0.76,0.67,0.67,0.67,,,
,,NonMetalFraming,GlazedDoor,ClearGlazing,0.74,0.65,0.70,0.70,; Added this row for consistancy with SDD 'ProductType',,
,,NonMetalFraming,CurtainWall,ClearGlazing,0.76,0.67,0.67,0.67,; Added this row for consistancy with SDD 'ProductType',,
,,NonMetalFraming,OperableWindow,TintedGlazing,0.60,0.53,Error1,Error1,,,
,,NonMetalFraming,FixedWindow,TintedGlazing,0.63,0.55,Error1,Error1,,,
,,NonMetalFraming,GlazedDoor,TintedGlazing,0.60,0.53,Error1,Error1,; Added this row for consistancy with SDD 'ProductType',,
,,NonMetalFraming,CurtainWall,TintedGlazing,0.63,0.55,Error1,Error1,; Added this row for consistancy with SDD 'ProductType',,
,,Error1,GlassBlock is not an acceptable specification for the specified GlazingTint.  Check inputs for consistency.,,,,,,,,
,,Error2,Default U-factors are not available for thermally-broken frames with Single or GlassBlock glazing options.  Check inputs for consistency.,,,,,,,,
,ENDTABLE,,,,,,,,,,
