;,CEC 2013 Nonresdiential ACM Ruleset,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,
;,,DefaultFenestrationUFactors,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,
;,,Date,Name,,Purpose,,,,,,,,,,,,
;,,10/4/2012,D. Reddy,,Initial ruleset setup,,,,,,,,,,,,
;,,10/21/2012,D. Reddy,,Added Error codes ,,,,,,,,,,,,
;,,11/4/2012,L. Hovee,,"Re-arranged to match Standards layout, Added row for CurtianWall",,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,,,,
;,,TABLE 110.6-A - DEFAULT FENESTRATION PRODUCT U-FACTORS,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,
;,,TO DO: Review SDD terms and update independent values and syntax examples as necessary.,,,,,,,,,,,,,,,
;,,"DefaultFenestrationUFactors.UFactor(ProductType=u.Proj:FenCons:ProdType, Frame=u.Proj:FenCons:Frame, Panes=u.Proj:FenCons:Panes)",,,,,,,,,,,,,,,
;,,"DefaultFenestrationUFactors.UFactor(ProductType=u.ProdType, Frame=u.Frm, Panes=u.Panes)",,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,
,TABLE DefaultFenestrationUFactors,,,,,,,,,,,,,,,,
,,FenestrationFraming,ProductType,GardenWindow,UFactor,UFactor,UFactor,,,,,,,,,,
,,Panes=,,,SinglePane,DoublePane ,GlassBlock,,,,,,,,,,
,,MetalFraming,OperableWindow,0,1.28,0.79,0.87,,,,,,,,,,
,,MetalFraming,FixedWindow,0,1.19,0.71,0.72,,,,,,,,,,
,,MetalFraming,CurtainWall,0,1.19,0.71,0.72,; Added this row for consistancy with SDD 'ProductType',,,,,,,,,
,,MetalFraming,*,1,2.26,1.40,Error1,; Garden Window,,,,,,,,,
,,MetalFraming,GlazedDoor,0,1.25,0.77,Error1,,,,,,,,,,
,,MetalFraming,Skylight,0,1.98,1.30,Error1,,,,,,,,,,
,,MetalFramingWithThermalBreak,OperableWindow,0,Error2,0.66,Error2,,,,,,,,,,
,,MetalFramingWithThermalBreak,FixedWindow,0,Error2,0.55,Error2,,,,,,,,,,
,,MetalFramingWithThermalBreak,CurtainWall,0,Error2,0.55,Error2,; Added this row for consistancy with SDD 'ProductType',,,,,,,,,
,,MetalFramingWithThermalBreak,*,1,Error2,1.12,Error2,; Garden Window,,,,,,,,,
,,MetalFramingWithThermalBreak,GlazedDoor,0,Error2,0.59,Error2,,,,,,,,,,
,,MetalFramingWithThermalBreak,Skylight,0,Error2,1.11,Error2,,,,,,,,,,
,,NonMetalFraming,OperableWindow,0,0.99,0.58,0.60,,,,,,,,,,
,,NonMetalFraming,FixedWindow,0,1.04,0.55,0.57,,,,,,,,,,
