;,ASHRAE 90.1-2010 PRM Ruleset,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,
;,,FenConsInputReqs,,,,,,,,,,,
;,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,
;,,Date,Name,,,Purpose,,,,,,,
;,,9/22/2014,L. Hovee,,,Screens Control and InputChecking Flags,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,
;,,None,,,,,,,,,,,
;,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,
;,,"FenConsInputReqs:FenProdTypeReq(""FenType"",FenType, ""CertificationMethod"",CertificationMthd, ""ProductType"",FenProdType, ""Panes"",FenPanes)",,,,,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,
,TABLE FenConsInputReqs,,,,,,,,,,,,
,,FenType,CertificationMethod,ProductType,Panes,FenProdTypeReq,FenFrmReq,FenPanesReq,GlazingTintReq,SkylightGlazingReq,SkylightCurbReq,;,All Cols Filled
,,VerticalFenestration,NFRCRated,*,*,1,1,0,0,0,0,;,1
,,VerticalFenestration,DefaultPerformance,*,*,1,1,1,1,0,0,;,1
,,Skylight,NFRCRated,*,*,0,0,0,0,1,1,;,1
,,Skylight,DefaultPerformance,*,*,0,1,1,1,1,1,;,1
,ENDTABLE,,,,,,,,,,,,
