;,CEC 2013 Nonresdiential ACM Ruleset,,,,,
;,,,,,,
;,TABLE NAME:,,,,,
;,,IlluminanceLevelLPD,,,,
;,,,,,,
;,MODIFICATION HISTORY:,,,,,
;,,Date,Name,Purpose,,
;,,12/6/2012,L. Hovee,Initial ruleset setup,,
;,,,,,,
;,,,,,,
;,Standards/ACM Reference:,,,,,
;,,TABLE 140.6-G - Illuminance Level Power Density Values,,,,
;,,,,,,
;,Notes:,,,,,
;,,,,,,
;,,,,,,
;,Syntax Examples:,,,,,
;,,"IlluminanceLevelLPD.LPD(IllumLevel=u:TMGenIlmRnd, RCRCat=u:RCRCat)",,,,
;,,,,,,
;,,,,,,
; ####################################  Start of Table ####################################,,,,,,
,TABLE IlluminanceLevelLPD,,,,,
,,IllumLevel,LPD,LPD,LPD,LPD
,,RCRCat=,RCRCat1,RCRCat2,RCRCat3,RCRCat4
;,,(Lux),(<=2.0),(<=3.5),(<=7.0),(>7.0)
,,50,0.2,0.3,0.4,0.6
,,100,0.4,0.6,0.8,1.2
,,200,0.6,0.8,1.3,1.9
,,300,0.8,1.0,1.4,2.0
,,400,0.9,1.1,1.5,2.2
,,500,1.0,1.2,1.6,2.4
,,600,1.2,1.4,2.0,2.9
,,700,1.4,1.7,2.3,3.3
,,800,1.6,1.9,2.6,3.8
,,900,1.8,2.2,3.0,4.3
,,1000,1.9,2.4,3.3,4.8
,ENDTABLE,,,,,
