;,CEC 2016 Nonresdiential ACM Ruleset,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,
;,,IlluminanceLevelLPD,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,
;,,7/21/2015,L. Hovee,Initial ruleset setup,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,
;,,TABLE 140.6-G - Illuminance Level Power Density Values,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,
;,,"IlluminanceLevelLPD.LPD(IllumLevel=u:TMGenIlmRnd, RCRCat=u:RCRCat)",,,,,,,,,,,,
;,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,
,TABLE IlluminanceLevelLPD,,,,,,,,,,,,,
,,IllumLevel,LPD,LPD,LPD,LPD,,,,,,,,
,,RCRCat=,RCRCat1,RCRCat2,RCRCat3,RCRCat4,,,,,,,,
;,,(Lux),(<=2.0),(<=3.5),(<=7.0),(>7.0),,,,,,,,
,,50,0.18,0.22,0.32,0.46,,,,,,,,
,,100,0.30,0.38,0.56,0.84,,,,,,,,
,,200,0.48,0.64,0.88,1.34,,,,,,,,
,,300,0.64,0.82,1.12,1.76,,,,,,,,
,,400,0.78,0.98,1.34,2.08,,,,,,,,
,,500,0.90,1.10,1.52,2.32,,,,,,,,
,,600,1.06,1.26,1.74,2.60,,,,,,,,
,,700,1.24,1.46,1.82,2.96,,,,,,,,
,,800,1.44,1.70,2.28,3.30,,,,,,,,
,,900,1.66,2.00,2.64,3.74,,,,,,,,
,,1000,1.84,2.20,2.90,4.06,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,
