;,CEC 2013 Nonresdiential ACM Ruleset,,,,,,,,
;,,,,,,,,,
;,TABLE NAME:,,,,,,,,
;,,LightHeatGainDistribution,,,,,,,
;,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,
;,,Date,Name,Purpose,,,,,
;,,7/21/2014,L. Hovee,Initial ruleset setup,,,,,
;,,,,,,,,,
;,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,
;,,5.4.4-Table 9 – Light Heat Gain Parameters for Typical Operating Conditions ,,,,,,,
;,,,,,,,,,
;,Notes:,,,,,,,,
;,,,,,,,,,
;,,,,,,,,,
;,Syntax Examples:,,,,,,,,
;,,"LightHeatGainDistribution:HtGnSpcFrac(FixtureType=u:XXX, LampType=u:XXX, ReturnType=u:XXX)",,,,,,,
;,,,,,,,,,
;,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,
,TABLE LightHeatGainDistribution,,,,,,,,
,,FixtureType,LampType,ReturnType,HtGnSpcFrac,HtGnRadFrac,,,
,,RecessedWithLens,LinearFluorescent,Ducted/Direct,1.00,0.67,,,
,,RecessedWithLens,LinearFluorescent,Plenum,0.45,0.67,,,
,,RecessedOrDownlight,LinearFluorescent,Ducted/Direct,1.00,0.58,,,
,,RecessedOrDownlight,LinearFluorescent,Plenum,0.69,0.58,,,
,,RecessedOrDownlight,CFL,Ducted/Direct,1.00,0.97,,,
,,RecessedOrDownlight,CFL,Plenum,0.20,0.97,,,
,,RecessedOrDownlight,Incandescent,Ducted/Direct,1.00,0.97,,,
,,RecessedOrDownlight,Incandescent,Plenum,0.75,0.97,,,
,,RecessedOrDownlight,LED,Ducted/Direct,1.00,0.97,,,
,,RecessedOrDownlight,LED,Plenum,0.20,0.97,,,
,,RecessedOrDownlight,MetalHalide,Ducted/Direct,1.00,0.97,,,
,,RecessedOrDownlight,MetalHalide,Plenum,0.75,0.97,,,
,,NotInCeiling,LinearFluorescent,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,LinearFluorescent,Plenum,1.00,0.54,,,
,,NotInCeiling,CFL,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,CFL,Plenum,1.00,0.54,,,
,,NotInCeiling,Incandescent,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,Incandescent,Plenum,1.00,0.54,,,
,,NotInCeiling,LED,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,LED,Plenum,1.00,0.54,,,
,,NotInCeiling,MetalHalide,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,MetalHalide,Plenum,1.00,0.54,,,
,,NotInCeiling,MercuryVapor,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,MercuryVapor,Plenum,1.00,0.54,,,
,,NotInCeiling,HighPressureSodium,Ducted/Direct,1.00,0.54,,,
,,NotInCeiling,HighPressureSodium,Plenum,1.00,0.54,,,
,ENDTABLE,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
