;,ASHRAE 90.1-2012 PRM,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,
;,,LtgInputRestrictions,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,
;,,Date,Name,,Purpose,,,,,,,,,,,
;,,7/9/2015,L. Hovee,,Lighting Allowance and PAF validity verification,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Standards/PRM Reference:,,,,,,,,,,,,,,,
;,,PRM Table 7,,,,,,,,,,,,,,
;,,Stds 9.1.2 (b),,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
;,NOTE:  Lookups Resulting in 'na' are to should be handled exclusively in rules,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,
,TABLE LtgInputRestrictions,,,,,,,,,,,,,,,
,,SpaceFunction,PAFCredType,;,Sort Order (for future updates),,,,,,,,,,,
,,CreditType =,OccupancySensor,,,,,,,,,,,,,
,,;,Allowance Permitted?,,,,,,,,,,,,,
,,Unoccupied-Exclude from Gross Floor Area,1,;,1,,,,,,,,,,,
,,Unoccupied-Include in Gross Floor Area,1,;,2,,,,,,,,,,,
,,Atrium - First 40 ft in height,1,;,3,,,,,,,,,,,
,,Atrium - Height above 40 ft,1,;,4,,,,,,,,,,,
,,Attic or Crawlspace (Naturally or Mechanically Ventilated),1,;,5,,,,,,,,,,,
,,Attic or Crawlspace (Not Ventilated),1,;,6,,,,,,,,,,,
,,Audience/Seating Area—Permanent - For auditorium,1,;,7,,,,,,,,,,,
,,Audience/Seating Area—Permanent - For Performing Arts Theater,1,;,8,,,,,,,,,,,
,,Audience/Seating Area—Permanent - For Motion Picture Theater,1,;,9,,,,,,,,,,,
,,Classroom/Lecture/Training,0,;,10,,,,,,,,,,,
,,Conference/Meeting/Multipurpose,0,;,11,,,,,,,,,,,
,,Copy Room,0,;,12,,,,,,,,,,,
,,Corridor/Transition,1,;,13,,,,,,,,,,,
,,Dining Area,1,;,14,,,,,,,,,,,
,,Dining Area  - For Bar Lounge/Leisure Dining,1,;,15,,,,,,,,,,,
,,Dining Area - For Family Dining,1,;,16,,,,,,,,,,,
,,Dressing/Fitting Room for Performing Arts Theater,0,;,17,,,,,,,,,,,
,,Electrical/Mechanical,1,;,18,,,,,,,,,,,
,,Employee Breakroom,0,;,19,,,,,,,,,,,
,,Food Preparation,1,;,20,,,,,,,,,,,
,,Laboratory - For Classrooms,1,;,21,,,,,,,,,,,
,,Laboratory - For Medical/Industrial/Research,1,;,22,,,,,,,,,,,
,,Lobby,1,;,23,,,,,,,,,,,
