;,CEC 2016 Nonresidential ACM Ruleset,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,,,
;,,LtgInputRestrictions,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,,,
;,,7/20/2015,L. Hovee,Lighting Allowance and PAF validity verification,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,,,,,,
;,,Table 140.6-A,,,,,,,,,,,,,,,,,
;,,TABLE 140.6-C Footnotes,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,
;,NOTE:  Lookups Resulting in 'na' are to should be handled exclusively in rules,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,"Note: Assigned in Rules, no table lookup",,,,,"Note: Assigned in Rules, no table lookup",,
; ####################################  Start of Table ####################################,,,,,,,,,,,,,,,,,,,
,TABLE LtgInputRestrictions,,,,,,,,,,,,,,,,,,
,,SpaceFunction,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,AreaCatAllowType,PAFCredType,PAFCredType,PAFCredType,PAFCredType,PAFCredType,PAFCredType,;,Sort Order (for future updates)
,,AllowanceType = ,SpecializedLabTaskWork,SpecializedTaskWork,Ornamental,PrecisionCommercialIndustrial,WhiteOrChalkBoard,AccentDisplayFeature,Decorative,VideoconferencingStudioLighting,ParkingGarageATMLighting,DaylightDimmingPlusOff,OccupantSensingControls-1to125SF,OccupantSensingControls-126to250SF,OccupantSensingControls-251to500SF,InstitutionalTuning,DemandResponsiveControl,,
,,;,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,Allowance Permitted?,PAF Permitted (Boolean),PAF Permitted (Boolean),PAF Permitted (Boolean),PAF Permitted (Boolean),PAF Permitted (Boolean),PAF Permitted (Boolean),,
,,Auditorium Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,1
,,Auto Repair Area,0,1,0,0,0,0,0,0,0,na,0,0,0,1,na,;,2
,,"Bar, Cocktail Lounge and Casino Areas",0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,3
,,Beauty Salon Area,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,4
,,"Classrooms, Lecture, Training, Vocational Areas",0,0,0,0,1,0,0,0,0,na,0,0,0,1,na,;,5
,,Civic Meeting Place Area,0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,6
,,Commercial and Industrial Storage Areas (conditioned or unconditioned),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,7
,,Commercial and Industrial Storage Areas (refrigerated),0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,8
,,Computer Room,0,0,0,0,0,0,0,0,0,na,0,0,0,1,na,;,9
,,"Convention, Conference, Multipurpose and Meeting Center Areas",0,0,1,0,0,0,0,0,0,na,0,0,0,1,na,;,10
