//Complete Material and Composite List
//Save this TAB as MaterialData.csv
TABLE MaterialData
CodeCat,MatList,Thkns,Rvalue,ThrmlCndct,Dens,SpecHt,ExtRoughness,// For Reference
//Material Category,Material Name,Thickness,Resistance,Conductivity,Density,Specific Heat,Roughness,Input
//,,(in.),(h-ft2-F/BTU),(BTU/h-ft-F),(lb/ft3),(BTU/lb-F)
Air,Air - Cavity - Wall Roof Ceiling - 4 in. or more,6.00,0.92,0.5433,0.08,0.24,NA,JA4
Air,Air - Metal Wall Framing - 16 or 24 in. OC,5.50,0.65,0.705,0.08,0.24,NA,JA4
Air,Air - Wall - 1/2 in.,0.50,0.77,0.0542,0.08,0.24,NA,CEC Doug
Air,Air - Wall - 3/4 in.,0.75,0.84,0.0742,0.08,0.24,NA,CEC Doug
Air,Air - Wall - 1 1/2 in.,1.50,0.87,0.1433,0.08,0.24,NA,CEC Doug
Air,Air - Wall - 3 1/2 in.,3.50,0.85,0.3433,0.08,0.24,NA,CEC Doug
Air,Air - Ceiling - 1/2 in.,0.50,0.73,0.0567,0.08,0.24,NA,CEC Doug
Air,Air - Ceiling - 3/4 in.,0.75,0.75,0.0833,0.08,0.24,NA,CEC Doug
Air,Air - Ceiling - 1 1/2 in.,1.50,0.77,0.1625,0.08,0.24,NA,CEC Doug
Air,Air - Ceiling - 3 1/2 in.,3.50,0.80,0.365,0.08,0.24,NA,CEC Doug
Air,Air - Roof - 1/2 in.,0.50,0.76,0.055,0.08,0.24,NA,CEC Doug
Air,Air - Roof - 3/4 in.,0.75,0.81,0.0775,0.08,0.24,NA,CEC Doug
Air,Air - Roof - 1 1/2 in.,1.50,0.80,0.1567,0.08,0.24,NA,CEC Doug
Air,Air - Roof - 3 1/2 in.,3.50,0.82,0.3558,0.08,0.24,NA,CEC Doug
Air,Air - Floor - 1/2 in.,0.50,0.77,0.0542,0.08,0.24,NA,CEC Doug
Air,Air - Floor - 3/4 in.,0.75,0.85,0.0733,0.08,0.24,NA,CEC Doug
Air,Air - Floor - 1 1/2 in.,1.50,0.94,0.1333,0.08,0.24,NA,CEC Doug
Air,Air - Floor - 3 1/2 in.,3.50,1.00,0.2917,0.08,0.24,NA,CEC Doug
Bldg Board and Siding,Fiber cement board - 63 lb/ft3 - 1/3 in.,0.31,0.24,0.1083,63.00,0.20,Smooth,AEC
Bldg Board and Siding,Fiber cement board - 88 lb/ft3 - 1/3 in.,0.31,0.18,0.1417,88.00,0.20,Smooth,AEC
Bldg Board and Siding,Fiber cement board - 88 lb/ft3 - 1/2 in.,0.47,0.28,0.1417,88.00,0.20,Smooth,AEC
Bldg Board and Siding,Fiberboard sheathing - 1/2 in.,0.50,1.03,0.0408,24.96,0.31,Smooth,AEC
Bldg Board and Siding,Gypsum Board - 3/8 in.,0.38,0.32,0.09167,40.00,0.27,MediumSmooth,CEC Doug
Bldg Board and Siding,Gypsum Board - 1/2 in.,0.50,0.45,0.09167,40.00,0.27,MediumSmooth,CEC Doug
Bldg Board and Siding,Gypsum Board - 5/8 in.,0.63,0.56,0.09167,40.00,0.27,MediumSmooth,CEC Doug
Bldg Board and Siding,Gypsum Board - 3/4 in.,0.75,0.68,0.09167,40.00,0.27,MediumSmooth,CEC Doug
Bldg Board and Siding,Hard Board - 3/4 in.,0.75,1.04,0.06,50.00,0.31,Smooth,CEC Doug
Bldg Board and Siding,Hardboard - HDF - 50 lb/ft3 - 3/8 in.,0.38,0.51,0.0608,50.00,0.31,Smooth,AEC
