;,CEC 2013 Nonresdiential ACM Ruleset,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,,,,,,,,,,,,
;,,NA6FenestrationVTf,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,,,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,,,,,,,,,,,,,
;,,11/4/2012,L. Hovee,Added,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,,,,,,,,,,,,,
;,,Appendix NA-6.4  - Alternate Default Fenestration Procedure to Calculate Thermal Performance,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,,,,,,,,,,,,
;,,TO DO: Review SDD terms and update independent values and syntax examples as necessary.,,,,,,,,,,,,,,,,,,,,,
;,,"NA6FenestrationVTf:VTf(FenestrationProductType=u:FenProdType, OperableWindowConfiguration=u:OperableWinConfiguration, SkylightCurb=u:SkylightCurb)",,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
; ----------------------------------------------------- Start of Table -----------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,
,TABLE NA6FenestrationVTf,,,,,,,,,,,,,,,,,,,,,,
,,FenestrationProductType,OperableWindowConfiguration,SkylightCurb,VTf,,,,,,,,,,,,,,,,,,
,,FixedWindow,*,*,0.770,,,,,,,,,,,,,,,,,,
,,OperableWindow,CasementAwning,*,0.530,,,,,,,,,,,,,,,,,,
,,OperableWindow,Sliding,*,0.670,,,,,,,,,,,,,,,,,,
,,CurtainWall,*,*,0.880,,,,,,,,,,,,,,,,,,
,,GlazedDoor,*,*,0.530,,,,,,,,,,,,,,,,,,
,,Skylight,*,DeckMounted,0.880,,,,,,,,,,,,,,,,,,
,,Skylight,*,CurbMounted,1.000,,,,,,,,,,,,,,,,,,
,,Error1,NA6 is not supported for this input combination. Check inputs for consistency.,,,,,,,,,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,,,,,,
