TABLE OffSmlS901GElectric020032TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreZn TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys4,Core_ZN Thermal Zone,1110.678,-99996,-99996,,,,,
Perim1 TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys4-2,Perimeter_ZN_1 Thermal Zone,846.407,-99996,-99996,,,,,
Perim2 TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys4-3,Perimeter_ZN_2 Thermal Zone,665.136,-99996,-99996,,,,,
Perim3 TU,BaseUnctrl TrmlUnit-4,Uncontrolled,BaseAirSys4-4,Perimeter_ZN_3 Thermal Zone,870.172,-99996,-99996,,,,,
Perim4 TU,BaseUnctrl TrmlUnit-5,Uncontrolled,BaseAirSys4-5,Perimeter_ZN_4 Thermal Zone,751.375,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlS901GElectric020032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnCoolingCoil,BaseSys4 CoilClg,DirectExpansion,BaseAirSys4,Core_ZN Thermal Zone,31323.836,32680.49,-99996,13,10.845,1,,
Perim1ZnCoolingCoil,BaseSys4 CoilClg-2,DirectExpansion,BaseAirSys4-2,Perimeter_ZN_1 Thermal Zone,23896.98,24931.973,-99996,13,10.845,1,,
Perim2ZnCoolingCoil,BaseSys4 CoilClg-3,DirectExpansion,BaseAirSys4-3,Perimeter_ZN_2 Thermal Zone,18779.088,19592.422,-99996,13,10.845,1,,
Perim3ZnCoolingCoil,BaseSys4 CoilClg-4,DirectExpansion,BaseAirSys4-4,Perimeter_ZN_3 Thermal Zone,24567.945,25631.998,-99996,13,10.845,1,,
Perim4ZnCoolingCoil,BaseSys4 CoilClg-5,DirectExpansion,BaseAirSys4-5,Perimeter_ZN_4 Thermal Zone,21543.887,22476.965,-99996,13,10.845,1,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlS901GElectric020032CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnHeatingCoil,BaseSys4 CoilHtg,HeatPump,BaseAirSys4,Core_ZN Thermal Zone,33540.844,32184.188,0,-99996,-99996,,,
CoreZnSuppHtgCoil,BaseSys4 SuppCoilHtg,Resistance,BaseAirSys4,Core_ZN Thermal Zone,39483.102,39483.102,0,-99996,-99996,,,
Perim1ZnHeatingCoil,BaseSys4 CoilHtg-2,HeatPump,BaseAirSys4-2,Perimeter_ZN_1 Thermal Zone,25561.379,24526.387,0,-99996,-99996,,,
Perim1ZnSuppHtgCoil,BaseSys4 SuppCoilHtg-2,Resistance,BaseAirSys4-2,Perimeter_ZN_1 Thermal Zone,29973.426,29973.426,0,-99996,-99996,,,
Perim2ZnHeatingCoil,BaseSys4 CoilHtg-3,HeatPump,BaseAirSys4-3,Perimeter_ZN_2 Thermal Zone,20087.033,19273.699,0,-99996,-99996,,,
Perim2ZnSuppHtgCoil,BaseSys4 SuppCoilHtg-3,Resistance,BaseAirSys4-3,Perimeter_ZN_2 Thermal Zone,21750.861,21750.861,0,-99996,-99996,,,
Perim3ZnHeatingCoil,BaseSys4 CoilHtg-4,HeatPump,BaseAirSys4-4,Perimeter_ZN_3 Thermal Zone,26279.076,25215.023,0,-99996,-99996,,,
