TABLE OffSmlS901GFossil020032TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreZn TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Core_ZN Thermal Zone,1326.214,-99996,-99996,,,,,
Perim1 TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,1059.42,-99996,-99996,,,,,
Perim2 TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,759.597,-99996,-99996,,,,,
Perim3 TU,BaseUnctrl TrmlUnit-4,Uncontrolled,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,1007.272,-99996,-99996,,,,,
Perim4 TU,BaseUnctrl TrmlUnit-5,Uncontrolled,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,845.171,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlS901GFossil020032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnCoolingCoil,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Core_ZN Thermal Zone,37402.488,39022.414,-99996,13,10.845,1,,
Perim1ZnCoolingCoil,BaseSys3 CoilClg-2,DirectExpansion,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,33706.594,35166.445,-99996,13,10.845,1,,
Perim2ZnCoolingCoil,BaseSys3 CoilClg-3,DirectExpansion,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,21446.035,22374.877,-99996,13,10.845,1,,
Perim3ZnCoolingCoil,BaseSys3 CoilClg-4,DirectExpansion,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,28438.77,29670.471,-99996,13,10.845,1,,
Perim4ZnCoolingCoil,BaseSys3 CoilClg-5,DirectExpansion,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,24468.041,25527.768,-99996,13,10.845,1,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlS901GFossil020032CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnHeatingCoil,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Core_ZN Thermal Zone,41462.035,41462.035,0,0.78,0.8,,,
Perim1ZnHeatingCoil,BaseSys3 CoilHtg-2,Furnace,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,32658.613,32658.613,0,0.78,0.8,,,
Perim2ZnHeatingCoil,BaseSys3 CoilHtg-3,Furnace,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,22567.775,22567.775,0,0.78,0.8,,,
Perim3ZnHeatingCoil,BaseSys3 CoilHtg-4,Furnace,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,31387.375,31387.375,0,0.78,0.8,,,
Perim4ZnHeatingCoil,BaseSys3 CoilHtg-5,Furnace,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,24650.838,24650.838,0,0.78,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlS901GFossil020032Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
