TABLE OffMedS901GElectric030032TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreBottomZn TU,BasePFPBox TrmlUnit,ParallelFanBox,BaseAirSys6,Core_bottom Thermal Zone,5618.348,1685.505,-99996,,,,,
PerimeterBottomZn1 TU,BasePFPBox TrmlUnit-2,ParallelFanBox,BaseAirSys6,Perimeter_bot_ZN_1 Thermal Zone,1700.438,510.132,-99996,,,,,
PerimeterBottomZn2 TU,BasePFPBox TrmlUnit-3,ParallelFanBox,BaseAirSys6,Perimeter_bot_ZN_2 Thermal Zone,1412.824,423.847,-99996,,,,,
PerimeterBottomZn3 TU,BasePFPBox TrmlUnit-4,ParallelFanBox,BaseAirSys6,Perimeter_bot_ZN_3 Thermal Zone,1543.528,463.058,-99996,,,,,
PerimeterBottomZn4 TU,BasePFPBox TrmlUnit-5,ParallelFanBox,BaseAirSys6,Perimeter_bot_ZN_4 Thermal Zone,1572.027,471.608,-99996,,,,,
CoreMidZn TU,BasePFPBox TrmlUnit-6,ParallelFanBox,BaseAirSys6-2,Core_mid Thermal Zone,5741.894,1722.568,-99996,,,,,
PerimeterMidZn1 TU,BasePFPBox TrmlUnit-7,ParallelFanBox,BaseAirSys6-2,Perimeter_mid_ZN_1 Thermal Zone,1872.001,561.6,-99996,,,,,
PerimeterMidZn2 TU,BasePFPBox TrmlUnit-8,ParallelFanBox,BaseAirSys6-2,Perimeter_mid_ZN_2 Thermal Zone,1587.292,476.188,-99996,,,,,
PerimeterMidZn3 TU,BasePFPBox TrmlUnit-9,ParallelFanBox,BaseAirSys6-2,Perimeter_mid_ZN_3 Thermal Zone,1666.529,499.959,-99996,,,,,
PerimeterMidZn4 TU,BasePFPBox TrmlUnit-10,ParallelFanBox,BaseAirSys6-2,Perimeter_mid_ZN_4 Thermal Zone,1789.054,536.716,-99996,,,,,
Core Top Zn TU,BasePFPBox TrmlUnit-11,ParallelFanBox,BaseAirSys6-3,Core_top Thermal Zone,5847.76,1754.328,-99996,,,,,
PerimeterTopZn1 TU,BasePFPBox TrmlUnit-12,ParallelFanBox,BaseAirSys6-3,Perimeter_top_ZN_1 Thermal Zone,1921.59,576.477,-99996,,,,,
PerimeterTopZn2 TU,BasePFPBox TrmlUnit-13,ParallelFanBox,BaseAirSys6-3,Perimeter_top_ZN_2 Thermal Zone,1591.517,477.455,-99996,,,,,
PerimeterTopZn3 TU,BasePFPBox TrmlUnit-14,ParallelFanBox,BaseAirSys6-3,Perimeter_top_ZN_3 Thermal Zone,1738.778,521.633,-99996,,,,,
PerimeterTopZn4 TU,BasePFPBox TrmlUnit-15,ParallelFanBox,BaseAirSys6-3,Perimeter_top_ZN_4 Thermal Zone,1845.714,553.714,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffMedS901GElectric030032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Bottom VAV CoilCooling,BaseSys6 CoilClg,DirectExpansion,BaseAirSys6,NONE,343108.813,357969.063,-99996,-99996,10,2,,
Mid VAV CoilCooling,BaseSys6 CoilClg-2,DirectExpansion,BaseAirSys6-2,NONE,366556.031,382431.781,-99996,-99996,10,2,,
Top VAV CoilCooling,BaseSys6 CoilClg-3,DirectExpansion,BaseAirSys6-3,NONE,374913.969,391151.719,-99996,-99996,10,2,,
ENDTABLE,,,,,,,,,,,,
TABLE OffMedS901GElectric030032CoilHtg,,,,,,,,,,,,
