TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Corridor Flr1_PTHP CoilClg,BaseSys2 CoilClg,DirectExpansion,BaseZnSys2,CorridorFlr1 Thermal Zone,19046.219,19871.121,-99996,-99996,9.5,-99996,,
EmployeeLounge Flr1_PTHP CoilClg,BaseSys2 CoilClg-2,DirectExpansion,BaseZnSys2-2,EmployeeLoungeFlr1 Thermal Zone,3092.707,3226.654,-99996,-99996,11.9,-99996,,
ExerciseCenter Flr1_PTHP CoilClg,BaseSys2 CoilClg-3,DirectExpansion,BaseZnSys2-3,ExerciseCenterFlr1 Thermal Zone,2997.42,3127.24,-99996,-99996,11.9,-99996,,
FrontLounge Flr1_PTHP CoilClg,BaseSys2 CoilClg-4,DirectExpansion,BaseZnSys2-4,FrontLoungeFlr1 Thermal Zone,79736.75,83190.195,-99996,-99996,9.5,-99996,,
FrontOffice Flr1_PTHP CoilClg,BaseSys2 CoilClg-5,DirectExpansion,BaseZnSys2-5,FrontOfficeFlr1 Thermal Zone,14077.307,14687.003,-99996,-99996,9.777,-99996,,
LaundryRoom Flr1_PTHP CoilClg,BaseSys2 CoilClg-6,DirectExpansion,BaseZnSys2-6,LaundryRoomFlr1 Thermal Zone,20906.73,21812.213,-99996,-99996,9.5,-99996,,
MechanicalRoom Flr1_PTHP CoilClg,BaseSys2 CoilClg-7,DirectExpansion,BaseZnSys2-7,MechanicalRoomFlr1 Thermal Zone,7883.71,8225.158,-99996,-99996,11.635,-99996,,
MeetingRoom Flr1_PTHP CoilClg,BaseSys2 CoilClg-8,DirectExpansion,BaseZnSys2-8,MeetingRoomFlr1 Thermal Zone,11442.872,11938.47,-99996,-99996,10.567,-99996,,
FrontStairs Flr1_PTHP CoilClg,BaseSys2 CoilClg-9,DirectExpansion,BaseZnSys2-9,FrontStairsFlr1 Thermal Zone,3239.506,3379.811,-99996,-99996,11.9,-99996,,
FrontStorage Flr1_PTHP CoilClg,BaseSys2 CoilClg-10,DirectExpansion,BaseZnSys2-10,FrontStorageFlr1 Thermal Zone,1306.609,1363.199,-99996,-99996,11.9,-99996,,
RearStairs Flr1_PTHP CoilClg,BaseSys2 CoilClg-11,DirectExpansion,BaseZnSys2-11,RearStairsFlr1 Thermal Zone,2881.206,3005.993,-99996,-99996,11.9,-99996,,
RearStorage Flr1_PTHP CoilClg,BaseSys2 CoilClg-12,DirectExpansion,BaseZnSys2-12,RearStorageFlr1 Thermal Zone,3076.105,3209.333,-99996,-99996,11.9,-99996,,
Restroom Flr1_PTHP CoilClg,BaseSys2 CoilClg-13,DirectExpansion,BaseZnSys2-13,RestroomFlr1 Thermal Zone,3676.152,3835.368,-99996,-99996,11.9,-99996,,
Corridor Flr2_PTHP CoilClg,BaseSys2 CoilClg-14,DirectExpansion,BaseZnSys2-14,CorridorFlr2 Thermal Zone,13048.896,13614.052,-99996,-99996,10.085,-99996,,
FrontStairs Flr2_PTHP CoilClg,BaseSys2 CoilClg-15,DirectExpansion,BaseZnSys2-15,FrontStairsFlr2 Thermal Zone,2671.452,2787.154,-99996,-99996,11.9,-99996,,
FrontStorage Flr2_PTHP CoilClg,BaseSys2 CoilClg-16,DirectExpansion,BaseZnSys2-16,FrontStorageFlr2 Thermal Zone,1061.702,1107.685,-99996,-99996,11.9,-99996,,
RearStairs Flr2_PTHP CoilClg,BaseSys2 CoilClg-17,DirectExpansion,BaseZnSys2-17,RearStairsFlr2 Thermal Zone,2464.563,2571.305,-99996,-99996,11.9,-99996,,
RearStorage Flr2_PTHP CoilClg,BaseSys2 CoilClg-18,DirectExpansion,BaseZnSys2-18,RearStorageFlr2 Thermal Zone,2552.399,2662.945,-99996,-99996,11.9,-99996,,
Corridor Flr3_PTHP CoilClg,BaseSys2 CoilClg-19,DirectExpansion,BaseZnSys2-19,CorridorFlr3 Thermal Zone,12961.875,13523.262,-99996,-99996,10.111,-99996,,
FrontStairs Flr3_PTHP CoilClg,BaseSys2 CoilClg-20,DirectExpansion,BaseZnSys2-20,FrontStairsFlr3 Thermal Zone,2666.607,2782.099,-99996,-99996,11.9,-99996,,
FrontStorage Flr3_PTHP CoilClg,BaseSys2 CoilClg-21,DirectExpansion,BaseZnSys2-21,FrontStorageFlr3 Thermal Zone,1070.805,1117.182,-99996,-99996,11.9,-99996,,
RearStairs Flr3_PTHP CoilClg,BaseSys2 CoilClg-22,DirectExpansion,BaseZnSys2-22,RearStairsFlr3 Thermal Zone,2463.79,2570.499,-99996,-99996,11.9,-99996,,
RearStorage Flr3_PTHP CoilClg,BaseSys2 CoilClg-23,DirectExpansion,BaseZnSys2-23,RearStorageFlr3 Thermal Zone,2544.742,2654.956,-99996,-99996,11.9,-99996,,
Corridor Flr4_PTHP CoilClg,BaseSys2 CoilClg-24,DirectExpansion,BaseZnSys2-24,CorridorFlr4 Thermal Zone,18558.314,19362.086,-99996,-99996,9.5,-99996,,
FrontStairs Flr4_PTHP CoilClg,BaseSys2 CoilClg-25,DirectExpansion,BaseZnSys2-25,FrontStairsFlr4 Thermal Zone,3438.047,3586.951,-99996,-99996,11.9,-99996,,
