TABLE WhseS901GFossil080032TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Office_TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Zn_Office,3039.144,-99996,-99996,,,,,
FineStorage_TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys9,Zn_FineStorage,1867.322,-99996,-99996,,,,,
BulkStorage_TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys9-2,Zn_BulkStorage,5174.509,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseS901GFossil080032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Zn_Office,85441.336,89141.852,-99996,-99996,11,1,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseS901GFossil080032CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Office_CoilHtg,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Zn_Office,94717.875,94717.875,0,0.78,0.8,,,
FineStorage_CoilHtg,BaseSys9 CoilHtg,Furnace,BaseAirSys9,Zn_FineStorage,223710.875,223710.875,0,0.78,0.8,,,
BulkStorage_CoilHtg,BaseSys9 CoilHtg-2,Furnace,BaseAirSys9-2,Zn_BulkStorage,514535.375,514535.375,0,-99996,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE WhseS901GFossil080032Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
Office_SupplyFan,BaseSys3 Fan,ConstantVolume,BaseAirSys3,Zn_Office,3039.144,-99996,0.65,BrakeHorsePower,3.877,3,InAirStream,0.895
FineStorage_SupplyFan,BaseSys9 Fan,ConstantVolume,BaseAirSys9,Zn_FineStorage,1867.322,-99996,0.65,PowerPerUnitFlow,1.328,1,InAirStream,0.8
BulkStorage_SupplyFan,BaseSys9 Fan-2,ConstantVolume,BaseAirSys9-2,Zn_BulkStorage,5174.509,-99996,0.65,PowerPerUnitFlow,1.328,3,InAirStream,0.8
ENDTABLE,,,,,,,,,,,,
TABLE WhseS901GFossil080032OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
Office_OACtrl,BaseSys3 OACtrl,DifferentialDryBulb,BaseAirSys3,Integrated,,,,,,,,
FineStorage_OACtrl,BaseSys9 OACtrl,NoEconomizer,BaseAirSys9,UNDEFINED,,,,,,,,
BulkStorage_OACtrl,BaseSys9 OACtrl-2,NoEconomizer,BaseAirSys9-2,UNDEFINED,,,,,,,,
ENDTABLE,,,,,,,,,,,,
