TABLE SchSmlCECStd13010012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Wing1_Corridor_Zn_TU,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Wing1_Corridor_Zn,1644.45,328.89,822.225,DualMaximum,,,,
Wing1_Side2_Zn_TU,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Wing1_Side2_Zn,710.019,282.554,355.01,DualMaximum,,,,
Wing1_Side1_Zn_TU,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Wing1_Side1_Zn,877.17,282.554,438.585,DualMaximum,,,,
Wing2_Corridor_Zn_TU,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Wing2_Corridor_Zn,1645.044,329.009,822.522,DualMaximum,,,,
Wing2_Side2_Zn_TU,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,Wing2_Side2_Zn,710.996,282.555,355.498,DualMaximum,,,,
Wing2_Side1_Zn_TU,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5,Wing2_Side1_Zn,862.923,282.549,431.462,DualMaximum,,,,
Common_Lobby_Zn_TU,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5,Common_Lobby_Zn,593.571,118.714,296.785,DualMaximum,,,,
Common_Corridor_Zn_TU,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5,Common_Corridor_Zn,1020.659,258.334,510.329,DualMaximum,,,,
Common_Office_Zn_TU,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5,Common_Office_Zn,1823.449,364.69,911.724,DualMaximum,,,,
Common_Cafeteria_Zn_TU,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5,Common_Cafeteria_Zn,3081.44,616.288,1540.72,DualMaximum,,,,
Common_Restroom_Zn_TU,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5,Common_Restroom_Zn,845.042,169.008,422.521,DualMaximum,,,,
Common_Mech/Elec_TU,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5,Common_Mech/Elec_Zn,662.487,132.497,331.243,DualMaximum,,,,
ENDTABLE,,,,,,,,,,,,
TABLE SchSmlCECStd13010012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
SchoolSys_CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,NONE,979666.5,1022096.438,-99996,-99996,9.5,2,,
ENDTABLE,,,,,,,,,,,,
TABLE SchSmlCECStd13010012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
SchoolSys_CoilHtg,BaseSys5 CoilHtg,HotWater,BaseAirSys5,NONE,207299.563,207299.563,10.36104,-99996,-99996,,,
Wing1_Corridor_Zn_TU_CoilHtg,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,Wing1_Corridor_Zn,36377.727,36377.727,1.8182,-99996,-99996,,,
Wing1_Side2_Zn_TU_CoilHtg,BaseVAVBox CoilHtg-2,HotWater,BaseAirSys5,Wing1_Side2_Zn,17043.766,17043.766,0.85186,-99996,-99996,,,
Wing1_Side1_Zn_TU_CoilHtg,BaseVAVBox CoilHtg-3,HotWater,BaseAirSys5,Wing1_Side1_Zn,19630.078,19630.078,0.98113,-99996,-99996,,,
