TABLE OffSmlCECStd13020012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreZn TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Core_ZN Thermal Zone,1157.896,-99996,-99996,,,,,
Perim1 TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,1124.174,-99996,-99996,,,,,
Perim2 TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,659.587,-99996,-99996,,,,,
Perim3 TU,BaseUnctrl TrmlUnit-4,Uncontrolled,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,955.803,-99996,-99996,,,,,
Perim4 TU,BaseUnctrl TrmlUnit-5,Uncontrolled,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,749.151,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnCoolingCoil,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Core_ZN Thermal Zone,32189.236,33583.371,-99996,13,10.845,1,,
Perim1ZnCoolingCoil,BaseSys3 CoilClg-2,DirectExpansion,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,31251.777,32605.311,-99996,13,10.845,1,,
Perim2ZnCoolingCoil,BaseSys3 CoilClg-3,DirectExpansion,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,18693.439,19503.064,-99996,13,10.845,1,,
Perim3ZnCoolingCoil,BaseSys3 CoilClg-4,DirectExpansion,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,32254.807,33651.781,-99996,13,10.845,1,,
Perim4ZnCoolingCoil,BaseSys3 CoilClg-5,DirectExpansion,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,22907.143,23899.266,-99996,13,10.845,1,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnHeatingCoil,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Core_ZN Thermal Zone,47311.801,47311.801,0,0.78,0.8,,,
Perim1ZnHeatingCoil,BaseSys3 CoilHtg-2,Furnace,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,43516.988,43516.988,0,0.78,0.8,,,
Perim2ZnHeatingCoil,BaseSys3 CoilHtg-3,Furnace,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,25469.438,25469.438,0,0.78,0.8,,,
Perim3ZnHeatingCoil,BaseSys3 CoilHtg-4,Furnace,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,38384.688,38384.688,0,0.78,0.8,,,
Perim4ZnHeatingCoil,BaseSys3 CoilHtg-5,Furnace,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,28176.227,28176.227,0,0.78,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd13020012Fan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
