TABLE OffMedCECStd13030012STrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreBottomZn TU,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,Core_bottom Thermal Zone,7973.838,1594.768,3986.919,DualMaximum,,,,
PerimeterBottomZn1 TU,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_1 Thermal Zone,2049.284,409.857,1024.642,DualMaximum,,,,
PerimeterBottomZn2 TU,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_2 Thermal Zone,1318.571,263.714,659.286,DualMaximum,,,,
PerimeterBottomZn3 TU,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_3 Thermal Zone,1427.367,334.764,713.683,DualMaximum,,,,
PerimeterBottomZn4 TU,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,Perimeter_bot_ZN_4 Thermal Zone,1411.707,282.341,705.854,DualMaximum,,,,
CoreMidZn TU,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5-2,Core_mid Thermal Zone,8194.209,1638.842,4097.104,DualMaximum,,,,
PerimeterMidZn1 TU,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_1 Thermal Zone,2501.917,500.383,1250.958,DualMaximum,,,,
PerimeterMidZn2 TU,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_2 Thermal Zone,1573.744,314.749,786.872,DualMaximum,,,,
PerimeterMidZn3 TU,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_3 Thermal Zone,1510.265,334.764,755.133,DualMaximum,,,,
PerimeterMidZn4 TU,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5-2,Perimeter_mid_ZN_4 Thermal Zone,1708.759,341.752,854.38,DualMaximum,,,,
Core Top Zn TU,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5-3,Core_top Thermal Zone,8355.166,1671.033,4177.583,DualMaximum,,,,
PerimeterTopZn1 TU,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_1 Thermal Zone,2571.742,514.348,1285.871,DualMaximum,,,,
PerimeterTopZn2 TU,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_2 Thermal Zone,1570.924,314.185,785.462,DualMaximum,,,,
PerimeterTopZn3 TU,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_3 Thermal Zone,1624.949,334.764,812.474,DualMaximum,,,,
PerimeterTopZn4 TU,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys5-3,Perimeter_top_ZN_4 Thermal Zone,1805.759,361.152,902.88,DualMaximum,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffMedCECStd13030012SCoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Bottom VAV CoilCooling,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,NONE,509870.375,531953.188,-99996,-99996,9.8,2,,
Mid VAV CoilCooling,BaseSys5 CoilClg-2,DirectExpansion,BaseAirSys5-2,NONE,522759.156,545400.188,-99996,-99996,9.8,2,,
Top VAV CoilCooling,BaseSys5 CoilClg-3,DirectExpansion,BaseAirSys5-3,NONE,519832.438,542346.688,-99996,-99996,9.8,2,,
