TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
BaseVAVTrmlUnit,BaseVAVBox TrmlUnit,VAVReheatBox,BaseAirSys5,CorridorFlr1 Thermal Zone,1003.812,243.005,501.906,DualMaximum,,,,
BaseVAVTrmlUnit-5,BaseVAVBox TrmlUnit-2,VAVReheatBox,BaseAirSys5,EmployeeLoungeFlr1 Thermal Zone,171.553,52.65,85.776,DualMaximum,,,,
BaseVAVTrmlUnit-6,BaseVAVBox TrmlUnit-3,VAVReheatBox,BaseAirSys5,ExerciseCenterFlr1 Thermal Zone,176.967,52.65,88.483,DualMaximum,,,,
BaseVAVTrmlUnit-7,BaseVAVBox TrmlUnit-4,VAVReheatBox,BaseAirSys5,FrontLoungeFlr1 Thermal Zone,2325.669,465.134,1162.834,DualMaximum,,,,
BaseVAVTrmlUnit-8,BaseVAVBox TrmlUnit-5,VAVReheatBox,BaseAirSys5,FrontOfficeFlr1 Thermal Zone,895.412,210.6,447.706,DualMaximum,,,,
BaseVAVTrmlUnit-9,BaseVAVBox TrmlUnit-6,VAVReheatBox,BaseAirSys5,LaundryRoomFlr1 Thermal Zone,685.213,157.951,342.607,DualMaximum,,,,
BaseVAVTrmlUnit-10,BaseVAVBox TrmlUnit-7,VAVReheatBox,BaseAirSys5,MechanicalRoomFlr1 Thermal Zone,412.993,82.599,206.497,DualMaximum,,,,
BaseVAVTrmlUnit-11,BaseVAVBox TrmlUnit-8,VAVReheatBox,BaseAirSys5,MeetingRoomFlr1 Thermal Zone,1112.941,222.588,556.471,DualMaximum,,,,
BaseVAVTrmlUnit-12,BaseVAVBox TrmlUnit-9,VAVReheatBox,BaseAirSys5,FrontStairsFlr1 Thermal Zone,171.807,34.361,85.904,DualMaximum,,,,
BaseVAVTrmlUnit-16,BaseVAVBox TrmlUnit-10,VAVReheatBox,BaseAirSys5,FrontStorageFlr1 Thermal Zone,117.152,23.43,58.576,DualMaximum,,,,
BaseVAVTrmlUnit-20,BaseVAVBox TrmlUnit-11,VAVReheatBox,BaseAirSys5,RearStairsFlr1 Thermal Zone,155.699,32.408,77.85,DualMaximum,,,,
BaseVAVTrmlUnit-24,BaseVAVBox TrmlUnit-12,VAVReheatBox,BaseAirSys5,RearStorageFlr1 Thermal Zone,160.019,32.41,80.009,DualMaximum,,,,
BaseVAVTrmlUnit-28,BaseVAVBox TrmlUnit-13,VAVReheatBox,BaseAirSys5,RestroomFlr1 Thermal Zone,268.785,53.757,134.393,DualMaximum,,,,
BaseVAVTrmlUnit-2,BaseVAVBox TrmlUnit-14,VAVReheatBox,BaseAirSys5-2,CorridorFlr2 Thermal Zone,634.406,202.502,317.203,DualMaximum,,,,
BaseVAVTrmlUnit-13,BaseVAVBox TrmlUnit-15,VAVReheatBox,BaseAirSys5-2,FrontStairsFlr2 Thermal Zone,122.054,32.4,61.027,DualMaximum,,,,
BaseVAVTrmlUnit-17,BaseVAVBox TrmlUnit-16,VAVReheatBox,BaseAirSys5-2,FrontStorageFlr2 Thermal Zone,86.982,20.25,43.491,DualMaximum,,,,
BaseVAVTrmlUnit-21,BaseVAVBox TrmlUnit-17,VAVReheatBox,BaseAirSys5-2,RearStairsFlr2 Thermal Zone,123.433,32.408,61.716,DualMaximum,,,,
BaseVAVTrmlUnit-25,BaseVAVBox TrmlUnit-18,VAVReheatBox,BaseAirSys5-2,RearStorageFlr2 Thermal Zone,125.122,32.41,62.561,DualMaximum,,,,
BaseVAVTrmlUnit-3,BaseVAVBox TrmlUnit-19,VAVReheatBox,BaseAirSys5-3,CorridorFlr3 Thermal Zone,621.372,202.502,310.686,DualMaximum,,,,
BaseVAVTrmlUnit-14,BaseVAVBox TrmlUnit-20,VAVReheatBox,BaseAirSys5-3,FrontStairsFlr3 Thermal Zone,120.7,32.4,60.35,DualMaximum,,,,
BaseVAVTrmlUnit-18,BaseVAVBox TrmlUnit-21,VAVReheatBox,BaseAirSys5-3,FrontStorageFlr3 Thermal Zone,85.925,20.25,42.963,DualMaximum,,,,
BaseVAVTrmlUnit-22,BaseVAVBox TrmlUnit-22,VAVReheatBox,BaseAirSys5-3,RearStairsFlr3 Thermal Zone,122.809,32.408,61.404,DualMaximum,,,,
BaseVAVTrmlUnit-26,BaseVAVBox TrmlUnit-23,VAVReheatBox,BaseAirSys5-3,RearStorageFlr3 Thermal Zone,124.439,32.41,62.22,DualMaximum,,,,
BaseVAVTrmlUnit-4,BaseVAVBox TrmlUnit-24,VAVReheatBox,BaseAirSys5-4,CorridorFlr4 Thermal Zone,720.155,202.502,360.078,DualMaximum,,,,
BaseVAVTrmlUnit-15,BaseVAVBox TrmlUnit-25,VAVReheatBox,BaseAirSys5-4,FrontStairsFlr4 Thermal Zone,141.522,32.4,70.761,DualMaximum,,,,
BaseVAVTrmlUnit-19,BaseVAVBox TrmlUnit-26,VAVReheatBox,BaseAirSys5-4,FrontStorageFlr4 Thermal Zone,102.073,20.415,51.036,DualMaximum,,,,
BaseVAVTrmlUnit-23,BaseVAVBox TrmlUnit-27,VAVReheatBox,BaseAirSys5-4,RearStairsFlr4 Thermal Zone,137.574,32.408,68.787,DualMaximum,,,,
BaseVAVTrmlUnit-27,BaseVAVBox TrmlUnit-28,VAVReheatBox,BaseAirSys5-4,RearStorageFlr4 Thermal Zone,141.16,32.41,70.58,DualMaximum,,,,
ENDTABLE,,,,,,,,,,,,
TABLE HotSmlCECStd16070012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
BaseSys5 CoilClg,BaseSys5 CoilClg,DirectExpansion,BaseAirSys5,NONE,350931.688,366130.75,-99996,-99996,9.8,2,,
BaseSys5 CoilClg-2,BaseSys5 CoilClg-2,DirectExpansion,BaseAirSys5-2,NONE,49570.484,51717.414,-99996,13,10.845,2,,
BaseSys5 CoilClg-3,BaseSys5 CoilClg-3,DirectExpansion,BaseAirSys5-3,NONE,49015.699,51138.598,-99996,13,10.845,2,,
BaseSys5 CoilClg-4,BaseSys5 CoilClg-4,DirectExpansion,BaseAirSys5-4,NONE,52291.922,54556.715,-99996,13,10.845,2,,
GuestRoom101_FPFC CoilClg,BaseSys2 CoilClg,ChilledWater,BaseZnSys2,GuestRoom101 Thermal Zone,4500.911,4500.911,0.44992,-99996,-99996,-99996,,
GuestRoom102_FPFC CoilClg,BaseSys2 CoilClg-2,ChilledWater,BaseZnSys2-2,GuestRoom102 Thermal Zone,4595.19,4595.19,0.45934,-99996,-99996,-99996,,
GuestRoom103_FPFC CoilClg,BaseSys2 CoilClg-3,ChilledWater,BaseZnSys2-3,GuestRoom103 Thermal Zone,4395.839,4395.839,0.43942,-99996,-99996,-99996,,
GuestRoom104_FPFC CoilClg,BaseSys2 CoilClg-4,ChilledWater,BaseZnSys2-4,GuestRoom104 Thermal Zone,4190.085,4190.085,0.41885,-99996,-99996,-99996,,
GuestRoom105_FPFC CoilClg,BaseSys2 CoilClg-5,ChilledWater,BaseZnSys2-5,GuestRoom105 Thermal Zone,4218.68,4218.68,0.42171,-99996,-99996,-99996,,
GuestRoom201_FPFC CoilClg,BaseSys2 CoilClg-6,ChilledWater,BaseZnSys2-6,GuestRoom201 Thermal Zone,5105.622,5105.622,0.51037,-99996,-99996,-99996,,
GuestRoom202_205_FPFC CoilClg,BaseSys2 CoilClg-7,ChilledWater,BaseZnSys2-7,GuestRoom202_205 Thermal Zone,4213.279,4213.279,0.42117,-99996,-99996,-99996,,
GuestRoom206_208_FPFC CoilClg,BaseSys2 CoilClg-8,ChilledWater,BaseZnSys2-8,GuestRoom206_208 Thermal Zone,4311.292,4311.292,0.43097,-99996,-99996,-99996,,
GuestRoom209_212_FPFC CoilClg,BaseSys2 CoilClg-9,ChilledWater,BaseZnSys2-9,GuestRoom209_212 Thermal Zone,3855.396,3855.396,0.38539,-99996,-99996,-99996,,
GuestRoom213_FPFC CoilClg,BaseSys2 CoilClg-10,ChilledWater,BaseZnSys2-10,GuestRoom213 Thermal Zone,3850.78,3850.78,0.38493,-99996,-99996,-99996,,
GuestRoom214_FPFC CoilClg,BaseSys2 CoilClg-11,ChilledWater,BaseZnSys2-11,GuestRoom214 Thermal Zone,3600.012,3600.012,0.35986,-99996,-99996,-99996,,
GuestRoom215_218_FPFC CoilClg,BaseSys2 CoilClg-12,ChilledWater,BaseZnSys2-12,GuestRoom215_218 Thermal Zone,3568.396,3568.396,0.3567,-99996,-99996,-99996,,
GuestRoom219_FPFC CoilClg,BaseSys2 CoilClg-13,ChilledWater,BaseZnSys2-13,GuestRoom219 Thermal Zone,3632.572,3632.572,0.36312,-99996,-99996,-99996,,
GuestRoom220_223_FPFC CoilClg,BaseSys2 CoilClg-14,ChilledWater,BaseZnSys2-14,GuestRoom220_223 Thermal Zone,3557.656,3557.656,0.35563,-99996,-99996,-99996,,
GuestRoom224_FPFC CoilClg,BaseSys2 CoilClg-15,ChilledWater,BaseZnSys2-15,GuestRoom224 Thermal Zone,3598.331,3598.331,0.3597,-99996,-99996,-99996,,
GuestRoom301_FPFC CoilClg,BaseSys2 CoilClg-16,ChilledWater,BaseZnSys2-16,GuestRoom301 Thermal Zone,4719.153,4719.153,0.47174,-99996,-99996,-99996,,
GuestRoom302_305_FPFC CoilClg,BaseSys2 CoilClg-17,ChilledWater,BaseZnSys2-17,GuestRoom302_305 Thermal Zone,3908.403,3908.403,0.39069,-99996,-99996,-99996,,
GuestRoom306_308_FPFC CoilClg,BaseSys2 CoilClg-18,ChilledWater,BaseZnSys2-18,GuestRoom306_308 Thermal Zone,4279.221,4279.221,0.42776,-99996,-99996,-99996,,
GuestRoom309_312_FPFC CoilClg,BaseSys2 CoilClg-19,ChilledWater,BaseZnSys2-19,GuestRoom309_312 Thermal Zone,3853.086,3853.086,0.38516,-99996,-99996,-99996,,
GuestRoom313_FPFC CoilClg,BaseSys2 CoilClg-20,ChilledWater,BaseZnSys2-20,GuestRoom313 Thermal Zone,3853.349,3853.349,0.38519,-99996,-99996,-99996,,
GuestRoom314_FPFC CoilClg,BaseSys2 CoilClg-21,ChilledWater,BaseZnSys2-21,GuestRoom314 Thermal Zone,3612.002,3612.002,0.36106,-99996,-99996,-99996,,
GuestRoom315_318_FPFC CoilClg,BaseSys2 CoilClg-22,ChilledWater,BaseZnSys2-22,GuestRoom315_318 Thermal Zone,3609.603,3609.603,0.36082,-99996,-99996,-99996,,
GuestRoom319_FPFC CoilClg,BaseSys2 CoilClg-23,ChilledWater,BaseZnSys2-23,GuestRoom319 Thermal Zone,3585.317,3585.317,0.3584,-99996,-99996,-99996,,
GuestRoom320_323_FPFC CoilClg,BaseSys2 CoilClg-24,ChilledWater,BaseZnSys2-24,GuestRoom320_323 Thermal Zone,3574.865,3574.865,0.35735,-99996,-99996,-99996,,
