TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7,Back_Office Zone,3655.164,1827.582,-99996,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7-2,Back_Shelving/Refrig Zone,14376.448,7188.224,-99996,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7-3,Back_Storage Zone,11786.116,5893.058,-99996,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7-4,Main_Entry Zone,9431.384,4715.692,-99996,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7-5,Registers/Aisle Zone,18462.318,9231.159,-99996,,,,,
Restroom_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7-6,Restroom_1 Zone,3357.784,1678.892,-99996,,,,,
Restroom_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7-7,Restroom_2 Zone,3359.644,1679.822,-99996,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7-8,Side_Entry_1 Zone,9623.413,4811.707,-99996,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7-9,Side_Entry_2 Zone,9977.96,4988.98,-99996,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7-10,Side_Shelving_East Zone,18420.623,9210.312,-99996,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7-11,Side_Shelving_West Zone,18349.668,9174.834,-99996,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-12,VAVNoReheatBox,BaseAirSys7-12,Side_Storage_1 Zone,10642.677,5321.338,-99996,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-13,VAVNoReheatBox,BaseAirSys7-13,Side_Storage_2 Zone,4929.065,2464.533,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Back_Office_CoilClg,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,Back_Office Zone,101245.5,105630.5,-99996,-99996,11,2,,
Back_Shelving/Refrig_CoilClg,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,Back_Shelving/Refrig Zone,401106.813,418479,-99996,-99996,9.8,2,,
Back_Storage_CoilClg,BaseSys7 CoilClg-3,DirectExpansion,BaseAirSys7-3,Back_Storage Zone,328835.844,343077.938,-99996,-99996,9.8,2,,
Main_Entry_CoilClg,BaseSys7 CoilClg-4,DirectExpansion,BaseAirSys7-4,Main_Entry Zone,276874.281,288865.875,-99996,-99996,9.8,2,,
Registers/Aisle_CoilClg,BaseSys7 CoilClg-5,DirectExpansion,BaseAirSys7-5,Registers/Aisle Zone,514824.031,537121.375,-99996,-99996,9.8,2,,
Restroom_1_CoilClg,BaseSys7 CoilClg-6,DirectExpansion,BaseAirSys7-6,Restroom_1 Zone,96033.273,100192.531,-99996,-99996,11,2,,
Restroom_2_CoilClg,BaseSys7 CoilClg-7,DirectExpansion,BaseAirSys7-7,Restroom_2 Zone,96139.82,100303.695,-99996,-99996,11,2,,
Side_Entry_1_CoilClg,BaseSys7 CoilClg-8,DirectExpansion,BaseAirSys7-8,Side_Entry_1 Zone,281982.031,294194.844,-99996,-99996,9.8,2,,
Side_Entry_2_CoilClg,BaseSys7 CoilClg-9,DirectExpansion,BaseAirSys7-9,Side_Entry_2 Zone,291585.063,304213.781,-99996,-99996,9.8,2,,
Side_Shelving_East_CoilClg,BaseSys7 CoilClg-10,DirectExpansion,BaseAirSys7-10,Side_Shelving_East Zone,513661.313,535908.313,-99996,-99996,9.8,2,,
Side_Shelving_West_CoilClg,BaseSys7 CoilClg-11,DirectExpansion,BaseAirSys7-11,Side_Shelving_West Zone,511682.781,533844.063,-99996,-99996,9.8,2,,
Side_Storage_1_CoilClg,BaseSys7 CoilClg-12,DirectExpansion,BaseAirSys7-12,Side_Storage_1 Zone,297124.344,309992.969,-99996,-99996,9.8,2,,
Side_Storage_2_CoilClg,BaseSys7 CoilClg-13,DirectExpansion,BaseAirSys7-13,Side_Storage_2 Zone,136531.734,142445,-99996,-99996,10.8,2,,
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Back_Office_CoilHtg,BaseSys7 CoilHtg,Furnace,BaseAirSys7,Back_Office Zone,79677.273,79677.273,0,0.78,0.8,,,
Back_Shelving/Refrig_CoilHtg,BaseSys7 CoilHtg-2,Furnace,BaseAirSys7-2,Back_Shelving/Refrig Zone,373492.563,373492.563,0,-99996,0.8,,,
Back_Storage_CoilHtg,BaseSys7 CoilHtg-3,Furnace,BaseAirSys7-3,Back_Storage Zone,290821.094,290821.094,0,-99996,0.8,,,
