;,CEC 2013 Nonresidential ACM Ruleset,,,,,,,,,,
;,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,
;,,TailoredMethodLPA,,,,,,,,,
;,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,
;,,Date,Name,Purpose,,,,,,,
;,,12/6/2012,L. Hovee,Initial ruleset setup,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,Standards/ACM Reference:,,,,,,,,,,
;,,TABLE 140.6-D - Tailored Method Lighting Power Allowances,,,,,,,,,
;,,,,,,,,,,,
;,Notes:,,,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,
;,,TailoredMethodLPA.GenIllum(SpaceFunction=u:SpaceFunction),,,,,,,,,
;,,,,,,,,,,,
;,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,
,TABLE TailoredMethodLPA,,,,,,,,,,
,,SpaceFunction,TMAllowed,GenIllum,WallDispPwr,FlrDispAndTaskPwr,OrnAndSpclEftPwr,,,,
,,; units ->,Boolean,(Lux),(W/ft),(W/ft2),(W/ft2),,,Sort order (for future updates),
,,Auditorium Area,1,300,2.25,0.3,0.5,,,;,1
,,Civic Meeting Place Area,1,300,3.15,0.2,0.5,,,;,6
,,"Convention, Conference, Multipurpose and Meeting Center Areas",1,300,2.50,0.4,0.5,,,;,10
,,Dining Area,1,200,1.50,0.6,0.5,,,;,12
,,"Exhibit, Museum Areas",1,150,15.00,1.2,0.5,,,;,17
,,Financial Transaction Area,1,300,3.15,0.2,0.5,,,;,18
,,Grocery Sales Areas,1,500,8.00,0.9,0.5,,,;,22
,,Hotel Function Area,1,400,2.25,0.2,0.5,,,;,24
,,"Lobby, Hotel",1,200,3.15,0.2,0.5,,,;,35
,,"Lobby, Main Entry",1,200,0.00,0.2,0,,,;,36
,,"Lounge, Recreation",1,200,7.00,0.0,0.5,,,;,38
,,Malls and Atria,1,300,3.50,0.5,0.5,,,;,39
,,Religious Worship Area,1,300,1.50,0.5,0.5,,,;,47
,,"Retail Merchandise Sales, Wholesale Showroom",1,400,14.00,1.0,0.5,,,;,48
,,"Theater, Motion Picture",1,200,3.00,0.0,0.5,,,;,50
,,"Theater, Performance",1,200,6.00,0.0,0.5,,,;,51
,,Transportation Function,1,300,3.15,0.3,0.5,,,;,52
,,"Transportation Function, Concourse & Baggage",1,300,3.15,0.3,0.5,,,;,53
,,"Transportation Function, Ticketing",1,300,3.15,0.3,0.5,,,;,54
,,Waiting Area,1,300,3.15,0.2,0.5,,,;,58
,,Auto Repair Area,0,-999,-999,-999,-999,,,;,2
,,"Bar, Cocktail Lounge and Casino Areas",0,-999,-999,-999,-999,,,;,3
,,Beauty Salon Area,0,-999,-999,-999,-999,,,;,4
,,"Classrooms, Lecture, Training, Vocational Areas",0,-999,-999,-999,-999,,,;,5
,,Commercial and Industrial Storage Areas (conditioned or unconditioned),0,-999,-999,-999,-999,,,;,7
,,Commercial and Industrial Storage Areas (refrigerated),0,-999,-999,-999,-999,,,;,8
,,Computer Room,0,-999,-999,-999,-999,,,;,9
,,"Corridors, Restrooms, Stairs, and Support Areas",0,-999,-999,-999,-999,,,;,11
,,Dry Cleaning (Coin Operated),0,-999,-999,-999,-999,,,;,13
,,Dry Cleaning (Full Service Commercial),0,-999,-999,-999,-999,,,;,14
,,"Electrical, Mechanical, Telephone Rooms",0,-999,-999,-999,-999,,,;,15
,,Exercise Room,0,-999,-999,-999,-999,,,;,16
,,"General Commercial and Industrial Work Areas, High Bay",0,-999,-999,-999,-999,,,;,19
,,"General Commercial and Industrial Work Areas, Low Bay",0,-999,-999,-999,-999,,,;,20
,,"General Commercial and Industrial Work Areas, Precision",0,-999,-999,-999,-999,,,;,21
,,Gymnasium/Sports Arena,0,-999,-999,-999,-999,,,;,21
,,High-Rise Residential Living Spaces,0,-999,-999,-999,-999,,,;,23
,,Hotel/Motel Guest Room,0,-999,-999,-999,-999,,,;,25
,,"Housing, Public and Common Areas: Multi-family, Dormitory",0,-999,-999,-999,-999,,,;,26
,,"Housing, Public and Common Areas: Senior Housing",0,-999,-999,-999,-999,,,;,27
,,"Kitchen, Commercial Food Preparation",0,-999,-999,-999,-999,,,;,28
,,Kitchenette or Residential Kitchen,0,-999,-999,-999,-999,,,;,29
,,"Laboratory, Scientific",0,-999,-999,-999,-999,,,;,30
,,"Laboratory, Equipment Room",0,-999,-999,-999,-999,,,;,31
,,Laundry,0,-999,-999,-999,-999,,,;,32
,,"Library, Reading Areas",0,-999,-999,-999,-999,,,;,33
,,"Library, Stacks",0,-999,-999,-999,-999,,,;,34
,,Locker/Dressing Room,0,-999,-999,-999,-999,,,;,37
,,Medical and Clinical Care,0,-999,-999,-999,-999,,,;,40
,,Nurseries for Children - Day Care,0,-999,-999,-999,-999,,,;,40
,,Office (Greater than 250 square feet in floor area),0,-999,-999,-999,-999,,,;,41
,,Office (250 square feet in floor area or less),0,-999,-999,-999,-999,,,;,42
,,"Parking Garage Building, Parking Area",0,-999,-999,-999,-999,,,;,43
,,Parking Garage Area Dedicated Ramps,0,-999,-999,-999,-999,,,;,44
,,Parking Garage Area Daylight Adaptation Zones,0,-999,-999,-999,-999,,,;,45
,,Police Station and Fire Station,0,-999,-999,-999,-999,,,;,46
,,Unleased Tenant Area,0,-999,-999,-999,-999,,,;,49
,,Unoccupied-Exclude from Gross Floor Area,0,-999,-999,-999,-999,,,;,55
,,Unoccupied-Include in Gross Floor Area,0,-999,-999,-999,-999,,,;,56
,,Videoconferencing Studio,0,-999,-999,-999,-999,,,;,57
,,All Others (including unleased tenant space in multi-tenant facilities),0,-999,-999,-999,-999,,,;,59
,ENDTABLE,,,,,,,,,,
