TABLE WeatherFileClimateZone_S901G,,,,,,,,
WthrStationNum,State,DsgnWB,WthrFileEPW,WthrFile,DesignDayFileDDY,HeatingDesignDay,CoolingDesignDay,LocationURL
//WeatherStationNumber,State,DesignWetBulbTemperature,WeatherFileEPW,WeatherFile,DesignDayFileDDY,Ann Htg 99 6% Condns DB,Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/
704540,AK,71,USA_AK_Adak.NAS.704540_TMY3.epw,USA_AK_Adak.NAS.704540,USA_AK_Adak.NAS.704540_TMY3.ddy,USA AK Adak NAS Ann Htg 99 6% Condns DB,USA AK Adak NAS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Adak.NAS.704540_TMY3.zip
702720,AK,71,USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.epw,USA_AK_Anchorage-Elmendorf.AFB.702720,USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.ddy,USA AK Anchorage Elmendorf AFB Ann Htg 99 6% Condns DB,USA AK Anchorage Elmendorf AFB Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Anchorage-Elmendorf.AFB.702720_TMY3.zip
702725,AK,71,USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.epw,USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725,USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.ddy,USA AK Anchorage Lake Hood Seaplane Base Ann Htg 99 6% Condns DB,USA AK Anchorage Lake Hood Seaplane Base Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3.zip
702735,AK,71,USA_AK_Anchorage-Merrill.Field.702735_TMY3.epw,USA_AK_Anchorage-Merrill.Field.702735,USA_AK_Anchorage-Merrill.Field.702735_TMY3.ddy,USA AK Anchorage Merrill Field Ann Htg 99 6% Condns DB,USA AK Anchorage Merrill Field Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Anchorage-Merrill.Field.702735_TMY3.zip
702075,AK,71,USA_AK_Anvik.702075_TMY3.epw,USA_AK_Anvik.702075,USA_AK_Anvik.702075_TMY3.ddy,USA AK Anvik Ann Htg 99 6% Condns DB,USA AK Anvik Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Anvik.702075_TMY3.zip
700260,AK,71,USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.epw,USA_AK_Barrow-W.Post-W.Rogers.AP.700260,USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.ddy,USA AK Barrow W Post W Rogers AP Ann Htg 99 6% Condns DB,USA AK Barrow W Post W Rogers AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Barrow-W.Post-W.Rogers.AP.700260_TMY3.zip
702190,AK,71,USA_AK_Bethel.AP.702190_TMY3.epw,USA_AK_Bethel.AP.702190,USA_AK_Bethel.AP.702190_TMY3.ddy,USA AK Bethel AP Ann Htg 99 6% Condns DB,USA AK Bethel AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Bethel.AP.702190_TMY3.zip
701740,AK,71,USA_AK_Bettles.Field.701740_TMY3.epw,USA_AK_Bettles.Field.701740,USA_AK_Bettles.Field.701740_TMY3.ddy,USA AK Bettles Field Ann Htg 99 6% Condns DB,USA AK Bettles Field Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Bettles.Field.701740_TMY3.zip
702670,AK,71,USA_AK_Big.Delta-Allen.AAF.702670_TMY3.epw,USA_AK_Big.Delta-Allen.AAF.702670,USA_AK_Big.Delta-Allen.AAF.702670_TMY3.ddy,USA AK Big Delta Allen AAF Ann Htg 99 6% Condns DB,USA AK Big Delta Allen AAF Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Big.Delta-Allen.AAF.702670_TMY3.zip
