TABLE WeatherFileClimateZone,,,,,,,,,,,,
WthrStationNum,WthrFile,CliZn,Lat,Long,Elevation,DsgnWB,DsgnWBDay,EPWHash,DDYHash,,,
//Weather Station Number,Weather Station Name,Climate Zone (1-16),Latitude (degrees),Longitude (degrees),Elevation (ft),Design WetBulb (F),Design Day Name,(SHA-256),(SHA-256),,SymVals,Old Elevations
725946,CRESCENT-CITY_725946,1,41.77,-124.22,56,61.3,SEP,6c599d354d00a03ff8c1f76911a7f350f4f6e7ee06b02d4485756d58f9a23f3f,006e6964ac3beac88606819c13012aa51d9ea68ab8b69f1fe990c3da6eafa40f,//,1,55.77427822
725945,ARCATA_725945,1,40.97,-124.08,200,62.2,SEP,204cb11bfbdc87f089ee675fb6ad8105f33c14c34dd59260f4213ad2adb9a65b,c595190b0708f186064a5ab4625e961d7b8544f51a441f935ab818c6b50ff7ed,//,2,200.1312336
725940,EUREKA_725940,1,40.78,-124.17,59,69.4,JUN,defa68fbaa7c756f99da4394abf31cc5c0e1a0084c703089fa67d5a6e5f5414a,474907bd75098ed27aadc17877f0f07667073fc02e80ec072cf75f97bdbbef7a,//,3,59.05511811
725905,UKIAH_725905,2,39.12,-123.2,617,69.8,JUL,3bf8d0dacfe3b468f202ade445e6cb72dd24f72df8db7a27bf8db54f7cd910f2,e31e2346240abebe2952e2031900c78a1e2066ac4af47ff29fa42c676320043a,//,4,616.7979003
724955,NAPA-CO_724955,2,38.22,-122.27,33,70.3,SEP,bacb0804a6b643c87f00f9b2aefd93e828cf7fbed35ea9f37457624d9e97b60c,1cbdee237b567b0595c387cf00d7dd0968c78758719ceee9c99afdd23a64d8f3,//,5,32.80839895
724957,SANTA-ROSA_724957,2,38.52,-122.82,125,71.8,SEP,f4bfbc0e7f42c4aa78ae9cad899712252aa058158f7f18a73a82f18102f0a465,b03a5d76a2af97322629b9681e35a0d43713f3e4455c6f8582c5ac6c33caa146,//,6,124.671916
724935,HAYWARD_724935,3,37.67,-122.12,46,68.7,JUL,9837d1de2da8b6cf7e80a97d7136a4d3a0f7df369c0cbba856097f694240939c,8a14b98a1196aeaac3a11dc6f1fcf151141e94aa82cc04cb040415f1671a9510,//,7,45.93175853
724930,OAKLAND_724930,3,37.72,-122.22,3,67.3,JUL,d68eecc83b883a79340999cd15a9149ada8b0f4487d23f283254146a5ff3178b,8c148b8398437d487c0af230652441aa6087e3f7ecb117e1935d2ad78c316bfe,//,8,3.280839895
724915,MONTEREY_724915,3,36.6,-121.87,164,64.0,SEP,dc651f8c53017d37a601f91a4d3cf8234d18e021163a8a4f7268efe6cac517e0,4bd8e133e047c229c789f1bad24c889fbd0c2a7d51595bc84741e54c412b3bce,//,9,164.0419948
724917,SALINAS_724917,3,36.67,-121.58,69,65.7,AUG,e5be536a237edffeb235aa98cb2470901893ed7af588fc0f1c321a9387705bf8,28eb57a0db56c4976f75d44e5dda03850c37644776212bdc6272eea4ba4475e5,//,10,68.8976378
724938,SAN-CARLOS_724938,3,37.52,-122.25,3,72.1,JUL,8c3b3ad94b3d63d0e99e44bcc35c98212ada224fac2ca8be8e2f6804a21fa0ea,1c014689e60e456efb91f6e6628a68f538f40d2e42cfb437f8d2332804257a86,//,11,3.280839895
724940,SAN-FRANCISCO-INTL_724940,3,37.62,-122.4,7,65.8,JUL,71f2bbe8b5999aed2822f7f59c97bd58bc5f2bdd9a12655aa09b6c1ffe5ee861,b37eb92d95322b35d80a854802fc6e0204243fe152f8a95c17d7788c24a8c595,//,12,6.56167979
723965,PASO-ROBLES_723965,4,35.67,-120.62,797,69.6,JUN,1c2a8669e9c502324f28ebb7615f2c122011b9118d75451904f03444878d0e1f,ebfaea9e619daa57da14d1db3dcb6070f4dc6dab0dee767af71521321f077899,//,13,797.2440945
724937,PALO-ALTO_724937,4,37.47,-122.12,400,70.5,JUL,066269549dc218ed736c40140ddaab232f6d48bb069b6b5dba24de7ed1c9613d,b86ee0cef6d190549e63bbbb7c0beea4ca0875534251cddda27874529fe4cca8,//,14,400.2624672
724945,SAN-JOSE-INTL_724945,4,37.37,-121.92,49,70.2,JUN,daaf0bd207127d27df45bff6766dce790a69f6eef981f1c95a039aa83891b707,ed4580b9c996c011c691362c20aa262df19502be8059a2bfe3a8f5e0c3571950,//,15,49.21259843
724946,SAN-JOSE-REID_724946,4,37.32,-121.82,135,72.7,JUL,a35139e25406fcd993e94c74f3e3c0d5af1d504334b08fc9a0fc6872a6954e0b,2eaa310005b64823755f54285d99b432e6d4ea0bdf84beacb3dd2c729c188694,//,16,134.5144357
722897,SAN-LUIS-CO_722897,5,35.22,-120.62,217,66.6,JUL,48ff3755e63701eff1e45237fc1b5a64890c4a2855b92597b080a7b7d3b44058,b1b5117e776b01d791a3d21e041b8e403938ab49cde5bd21de18cf4559b8a86c,//,17,216.5354331
722895,LOMPOC_722895,5,34.67,-120.47,89,65.8,SEP,beec518ef685797188f5361e4563dd29da79a59eef93221f72f187b3a8174eb8,84614d482ac8ff80405925e28d7fb572f2c8f305334bc360638c089943323722,//,18,88.58267717
723940,SANTA-MARIA_723940,5,34.92,-120.47,253,68.4,JUL,f38da716ed637c97ed8c9ed1d519c7e018f35c2e0d3758d9ceb1c528983fd9f7,42c86828de4eead360f35622a7e17c0076be6d4bf4cbbb2663fd3edc354b6dd2,//,19,252.6246719
723930,VANDENBERG-AFB_723930,5,34.75,-120.57,397,68.5,AUG,1e9b3c7f447cd39e0bac0901854239bd28a95bc8d2a268721f298333db1cf3dc,aed7b3c7ba1d886184b2d08e5698766ea91204778420065b48cd032d67eb7845,//,20,396.9816273
722950,LOS-ANGELES-INTL_722950,6,33.92,-118.4,98,71.8,JUL,c01f37092ebe4b0604d3f819a1f87f6f138bfad1a5548ab50b8bb29559c7a345,e193395bfe282b6c7e8870cbfbaab1ffb73772ff0da511dc4a8aba6dea971dde,//,21,98.42519685
722925,SAN-CLEMENTE-IS_722925,6,33.02,-118.57,171,73.6,JUL,5fe9d5e969e93ed12d02e3685a4d25d58f1938beb7483afc833ec9baff53f5e6,0110d70db5be45d74363b0001c85ab7e95df81ce7bf96b054e35c5d5d1744f48,//,22,170.6036745
722885,SANTA-MONICA_722885,6,34.02,-118.45,174,69.4,AUG,3826e61b574c36c85b9aa0dede8dc4a4474103c48e7ea34c813f08b0107e011c,9014c9285c45174e0f231e9c9c6594aa37eeefbabc53b00f317b40d7ca8140f1,//,23,173.8845144
722955,TORRANCE_722955,6,33.78,-118.32,89,74.8,JUL,3bfcb29b75b36a8dc8114c6ea0cfa9ffe19925951dc7720894bbc25533313cf1,74b17dfb8e18280c31558231c9660ba3f3ea0f4f38ee11af786e206336f74011,//,24,88.58267717
723925,SANTA-BARBARA_723925,6,34.42,-119.83,7,69.3,JUL,50646952536632f9cc1e0f7c54564bb62ab893605b26c656806512edf3b6a5dd,7f8925800aa2268568662c4ae49d59a2f067bcd2440f0777b81fe355994ea9c9,//,25,6.56167979
723926,CAMARILLO_723926,6,34.22,-119.07,75,72.7,SEP,c7ab6336428e00bd4e11d0dc86782cf2f9c0a2c6b0db40cb7106af536f500050,146efa874e92ede224e161e5ba4b2c68a7edbc0e97073d0f1a77f4a8c5448788,//,26,75.45931759
723927,OXNARD_723927,6,34.2,-119.2,36,71.2,SEP,5cf4dc7cea4ee7c421a5e0de7efb4d784dc4c768334a7c4f22e1a46b4cc81b52,53b018cf9e364e996fd020662c88ba7d3263dc87e8c3228e32e9da4dcd8c622f,//,27,36.08923885
723910,POINT-MUGU_723910,6,34.12,-119.12,10,70.2,JUL,8aac735b5c35373d1bc0da1a95e724e21ad1768fa26ba1c62547169bc75a144b,1a4988a5b0850b2384250b56c6c603a5e2e820199b264afec404e506d05d40c4,//,28,9.842519685
722910,SAN-NICHOLAS-IS_722910,6,33.25,-119.45,568,65.5,JUL,cda9d03e802d9db34f30f328d3825995b0109bea22e12050da01140b611cd7a8,398dca25c7645b5113fb1031896c37120a2ef2ccf2de2c44bc40ecb8107f3b64,//,29,567.5853018
722927,CARLSBAD_722927,7,33.12,-117.27,328,77.7,JUL,a060b959fbcb0a6341d51c1178da320cf0a28afdb5e6d95e17c44c720594ebdd,b423c866001ff876fd76e0476ac782ff6d67e265bf0bf1e74b63ae6209ace2a7,//,30,328.0839895
722909,IMPERIAL-BEACH_722909,7,32.57,-117.12,20,71.4,SEP,8e70364a0bba8e28377034afdf96976d1806d8fbb52c5a4106a407c458a02c0d,b1899392c634cda59201af33a329e4eba32e30fabfa36af2b39c42392616716c,//,31,19.68503937
722907,SAN-DIEGO-GILLESPIE_722907,7,32.82,-116.97,384,74.3,SEP,87d4320a282896f72999a869552745467d504b0d6b71492c8808665547c9ee6f,14774f9f148631506558dca0613da76d46c0c5bf7fd7ad633b1f04e398ade552,//,32,383.8582677
722900,SAN-DIEGO-LINDBERGH_722900,7,32.72,-117.17,13,70.2,SEP,fba881b1e70dadeb04abe5438deae7c7eeab940cd0768d737d4edf8b6e447a13,defaeadc15a429d62506fa8d38b807c09c013dc9b6e5aa7cd0f9ee6b0b8958c1,//,33,13.12335958
722903,SAN-DIEGO-MONTGOMER_722903,7,32.82,-117.12,423,69.8,JUL,13322ec4d09d9a3fd7cc72cc8eb92f9502f1a5207c1b71798383a136d28e2616,ca2502a1ec1eb36e106c3e2f903986c8a2863662a2166c61bd612aebf6ca8ee4,//,34,423.2283465
722906,SAN-DIEGO-NORTH-IS_722906,7,32.7,-117.2,46,68.0,JUN,3c4da824b386e4b69fffe8f11cec8878e53554e21927764d870fb0a99edce377,06736ed3f5ed9d2f9d5b1c0facea7b9f8e538a5092fb09c08213b20457212d09,//,35,45.93175853
722956,HAWTHORNE-NORTHROP-FLD_722956,8,33.92,-118.32,69,71.1,JUL,e7eb9c254fa932df5e780b958534c64575c5c2a1778f50f519d54d6587e3b5a2,92af366c9aaf77827d01ad3995a9c7cb877f57a75dd7ccfc6d8f67783d615d97,//,36,68.8976378
722970,LONG-BEACH_722970,8,33.82,-118.17,23,70.9,JUL,473c9f39579ae1423ea8bc2c3d430936822f3d433c76a27ad91576d95e0e9dee,cfef132bab19f694937b0c83ce4bba1922adf7429cce17cfb6d6a9f1c5818ec9,//,37,22.96587927
722976,FULLERTON_722976,8,33.87,-117.97,95,70.7,AUG,c571e794ce6813df781beb9b481a09a098a8905b264081172af7c29dde772fbe,ab0648f7dd94861a235733f89d20e879888c40e31b469359812d3026da341dbb,//,38,95.14435696
