;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,
;,Climate Zone-based Design Day (autosizing and hourly reports) defaults,,,,,,,,,,,,,,,,,
;,Last modified:,,11/22/2014 - SAC,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Source Data:,,Bruce Wilcox - 1/4/2013,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Mod history:,,1/3/2013 - SAC - created initial table,,,,,,,,,,,,,,,
;,,,1/4/2013 - BAW - added the data for the remaining zones,,,,,,,,,,,,,,,
;,,,1/18/2014 - mjb - added Ufactor and SHGC for Alteration Std Design,,,,,,,,,,,,,,,
;,,,7/11/2014 - mjb - added Skylt Ufactor and SHGC for Alteration Std Design,,,,,,,,,,,,,,,
;,,,11/17/14 - mjb - added Ceiling and Floor Std Design Insulation Rval,,,,,,,,,,,,,,,
;,,,11/22/14 - SAC - added StdMassExtWallCons & StdMassUndWallCons,,,,,,,,,,,,,,,
;,,,1/13/15 -mjb removed dpendents no longer used - moved to table CAClimateZoneCodeBase,,,,,,,,,,,,,,,
;,Independents:,,,,,,,,,,,,,,,,,
;,,1,CA Climate Zone (1-16),,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,Dependents:,,,,,,,,,,,,,,,,,
;,,1,HtgDesign - Heating Design Temperature (°F),,,,,,autosizing,,,,,,,,,
;,,2,DD1 - Cooling DD1 Month & Day,,,,,,autosizing,,,,,,,,,
;,,3,CD1 - Coldest Day CD1 Month & Day,,,,,,reporting,,,,,,,,,
;,,4,HD1 - Hottest Day HD1 Month & Day,,,,,,reporting,,,,,,,,,
;,,,,,,,,,,,,,,,,,,
;,,, (autosizing),, (reporting),,,,,,,,,,,,,
;,,,Heating,Cooling,Coldest,Hottest,,,,,,,,,,,,
;,,,Design,DD1,CD1,HD1,,,,,,,,,,,,
;,,,(°F),Mo Da,Mo Da,Month,,,,,,,,,,,,
,TABLE CA13ClimateZoneDesignDay,,,,,,,,,,,,,,,,,
,,ClimateZone,HtgDesign,DD1,CD1,HD1,,,,,,,,,,,,
,,1,33, Jul 27, Sep 18, Feb 09,,,,,,,,,,,,
,,2,29, Jun 30, Jul 07, Dec 04,,,,,,,,,,,,
,,3,37, Sep 23, Jul 09, Jan 04,,,,,,,,,,,,
,,4,36, Jul 31, Sep 02, Nov 29,,,,,,,,,,,,
,,5,33, Oct 06, Oct 05, Dec 03,,,,,,,,,,,,
,,6,39, Jul 15, Sep 01, Nov 30,,,,,,,,,,,,
,,7,44, Sep 22, Sep 01, Nov 30,,,,,,,,,,,,
,,8,37, Sep 02, Sep 01, Dec 01,,,,,,,,,,,,
,,9,36, Aug 07, Sep 01, Dec 01,,,,,,,,,,,,
,,10,35, Sep 24, Sep 01, Nov 30,,,,,,,,,,,,
,,11,21, Jul 01, Jul 10, Jan 03,,,,,,,,,,,,
,,12,37, Jun 30, Jul 10, Dec 03,,,,,,,,,,,,
,,13,30, Jul 15, Jul 10, Dec 04,,,,,,,,,,,,
,,14,24, Jul 23, Jul 09, Dec 01,,,,,,,,,,,,
,,15,34, Aug 11, Jul 12, Nov 30,,,,,,,,,,,,
,,16,24, Aug 27, Jul 10, Jan 03,,,,,,,,,,,,
,ENDTABLE,,,,,,,,,,,,,,,,,
