;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,,,
;,Heating Equipment Look-up Table,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,,1/7/16 - SAC,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,,,,,,,,,,,,,,,,,,,,,,
;,,,1,"Federal Register / Vol. 76, No. 123 / Monday, June 27, 2011 / Proposed Rules",,,,,,,,,,,,,,,,,,,,
;,,,,,DEPARTMENT OF ENERGY / 10 CFR Part 430 / [Docket Number EERE–2011–BT–STD– 0011] / RIN 1904–AC06,,,,,,,,,,,,,,,,,,,
;,,,,,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Residential Central Air Conditioners and Heat Pumps,,,,,,,,,,,,,,,,,,,
;,,,,,"NAECA_Standards_-_Fed_Reg_June_27,_2011.pdf",,,,,,,,,,,,,,,,,,,
;,,,2,<add next data source here>,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,Other cell color coding:,,,,,,,,,,,,,,,,,,,,,,,
;,,,0,no performance standard or default efficiency defined,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,,1/2/2013 - SAC - created initial table,,,,,,,,,,,,,,,,,,,,
;,,,,1/9/13 - SAC - added Duct Flag and Compatible Gas & Electric System columns,,,,,,,,,,,,,,,,,,,,
;,,,,1/10/13 - BAW - efficiency & compatible system table revisions + addition of 2015 standard version,,,,,,,,,,,,,,,,,,,,
;,,,,"1/10/13 - SAC - reformat table to new syntax, combine standard versions into single table and add SysAvail & IsHP flags",,,,,,,,,,,,,,,,,,,,
;,,,,2/4/13 - SAC - Revised furnace AFUE efficiency from 80 to 78 (per BAW conference call 2/4/13),,,,,,,,,,,,,,,,,,,,
;,,,,5/13/13 - SAC - Toggled on 'Electric' system type and added ConstHtgSetpt column,,,,,,,,,,,,,,,,,,,,
;,,,,5/20/13 - SAC - Integrated mods from Bruce - added DuctlessHeatPump and re-defined dependents 9-10 to refer to std design for ducted & ductless systems,,,,,,,,,,,,,,,,,,,,
