;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,
;,Material Library look-up table,,,,,,,,,,,,
;,Last modified:,,4/30/14 - SAC,,,,,,,,,,
;,,,,,,,,,,,,,
;,Source Data:,,Bruce Wilcox - 2/12 | 2/28/14 | 3/7/14 … (and noted below),,,,,,,,,,
;,,,,,,,,,,,,,
;,Mod history:,,3/12/2014 - SAC - created initial table - ported from rule switch statements to table w/ addition of hollow masonry unit selections,,,,,,,,,,
;,,,4/30/14 - SAC - modified rules to create sheating layers dynamically (as opposed to via library imports),,,,,,,,,,
;,,,,,,,,,,,,,
;,,,,,,,,,,,,,
;,Independents:,,,,,,,,,,,,
;,,1,LayerSymVal - numeric value that maps to Mat library entries,,,,,,,,,,
;,,,,,,,,,,,,,
;,Dependents:,,,,,,,,,,,,
;,,1,HaveEntry - 0/1 boolean indicating a valid Mat library entry,,,,,,,,,,
;,,2,MatName - name of Mat library item to be used in simulations,,,,,,,,,,
;,,,,,,,,,,,,,
,TABLE CA13MatLibrary,,,,,,,,,,,,
,,LayerSymVal,HaveEntry,MatName,,,,,,,,,
,,99001,0,R1 Sheathing,;,4/30/14 - SAC - modified rules to create sheating layers dynamically (as opposed to via library imports),,,,,,,
,,99002,0,R2 Sheathing,;,,,,,,,,
,,99003,0,R3 Sheathing,;,,,,,,,,
,,99004,0,R4 Sheathing,;,,,,,,,,
,,99005,0,R5 Sheathing,;,,,,,,,,
,,99006,0,R6 Sheathing,;,,,,,,,,
,,99007,0,R7 Sheathing,;,,,,,,,,
,,99008,0,R8 Sheathing,;,,,,,,,,
,,99009,0,R9 Sheathing,;,,,,,,,,
,,99010,0,R10 Sheathing,;,,,,,,,,
,,99011,0,R11 Sheathing,;,,,,,,,,
,,99012,0,R12 Sheathing,;,,,,,,,,
,,100101,1,Gypsum Board,;,,,,,,,,
,,100102,1,Wood layer,;,,,,,,,,
,,100103,1,R4 Synth Stucco,;,,,,,,,,
,,100104,1,3 Coat Stucco,;,,,,,,,,
,,100105,1,Carpet,;,,,,,,,,
,,100106,1,SoftWood,;,,,,,,,,
,,100107,1,Concrete,;,,,,,,,,
,,100108,1,Hardwood,;,,,,,,,,
,,100109,1,FloorTile,;,,,,,,,,
,,100110,1,FloorVinyl,;,,,,,,,,
,,100111,1,Brick,;,,,,,,,,
,,100201,1,Light Roof,;,,,,,,,,
,,100202,1,5 PSF Roof,;,,,,,,,,
,,100203,1,10 PSF Roof,;,,,,,,,,
,,100204,1,15 PSF Roof,;,,,,,,,,
,,100205,1,25 PSF Roof,;,,,,,,,,
,,100206,1,TileGap,;,,,,,,,,
