;,CEC Title-24 Residential Compliance Ruleset,,,,
;,Collection of DHW tables based on the Residential ACM,,,,
;,Separate Tables based on topic (to minimize duplicate data),,,,
;,Created:,,10/22/15 - SAC,,
;,Last modified:,,,,
;,,,,,
;,Source Data:,,Residential ACM (Alternative Calculation Method),,
;,,,,,
;,Mod history:,,,,
;,,,,,
;,Independents:,,(vary by individual table),,
;,,1,"CodeBase - year of energy standard (2013, 2016…)",,
;,,2,Nunit - Number of dwelling units served,,
;,,,(other topic-specific properties),,
;,,,,,
;,,,,,
;,"Res ACM DHW, related to method WH_LOOPSZ, currently App B, table B-5 for SUPPLY loop sizes",,,,
,TABLE  CAResDHW_LoopPipeSize,,,,
,,CodeBase,Nunit,IsBranch,PipeDiam
,,*,<2,No,1.5
,,*,<2,Yes,1
,,*,<8,*,1.5
,,*,<21,*,2
,,*,<42,*,2.5
,,*,<68,*,3
,,*,<101,*,3.5
,,*,<145,*,4
,,*,<198,*,5
,,*,*,*,6
,ENDTABLE,,,,
;,,,,,
;,,,,,
