;,"2016 CEC Residential TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 7/30/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,5.2267,1.8977,3.7655,5.2258,1.8977,3.7655,5.2259,1.8977,3.7655,5.2256,1.8977,3.7655,5.2248,1.8977,3.7655,4.9274,1.9188,3.7655,5.1611,1.8569,3.7655,4.9382,1.9188,3.7655,4.8736,1.9188,3.7655,4.8699,1.9188,3.7655,5.2249,1.8977,3.7655,5.2248,1.8977,3.7655,5.2257,1.8977,3.7655,4.8652,1.9188,3.7655,4.8733,1.9188,3.7655,4.8512,1.9188,3.7655
10102,5.1484,1.8977,3.7655,5.1475,1.8977,3.7655,5.1476,1.8977,3.7655,5.1473,1.8977,3.7655,5.1465,1.8977,3.7655,4.8489,1.9188,3.7655,5.0828,1.8569,3.7655,4.8597,1.9188,3.7655,4.7951,1.9188,3.7655,4.7914,1.9188,3.7655,5.1466,1.8977,3.7655,5.1465,1.8977,3.7655,5.1474,1.8977,3.7655,4.7867,1.9188,3.7655,4.7948,1.9188,3.7655,4.7727,1.9188,3.7655
10103,5.0839,1.8977,3.7655,5.083,1.8977,3.7655,5.0831,1.8977,3.7655,5.0828,1.8977,3.7655,5.0820,1.8977,3.7655,4.7911,1.9188,3.7655,5.025,1.8569,3.7655,4.8019,1.9188,3.7655,4.7373,1.9188,3.7655,4.7336,1.9188,3.7655,5.0821,1.8977,3.7655,5.082,1.8977,3.7655,5.0829,1.8977,3.7655,4.7289,1.9188,3.7655,4.7369,1.9188,3.7655,4.7149,1.9188,3.7655
10104,5.081,1.8977,3.7655,5.0801,1.8977,3.7655,5.0802,1.8977,3.7655,5.0799,1.8977,3.7655,5.0791,1.8977,3.7655,4.7886,1.9188,3.7655,5.0225,1.8569,3.7655,4.7994,1.9188,3.7655,4.7348,1.9188,3.7655,4.7311,1.9188,3.7655,5.0792,1.8977,3.7655,5.0791,1.8977,3.7655,5.0801,1.8977,3.7655,4.7264,1.9188,3.7655,4.7344,1.9188,3.7655,4.7124,1.9188,3.7655
10105,5.1549,1.8977,3.7655,5.154,1.8977,3.7655,5.1541,1.8977,3.7655,5.1538,1.8977,3.7655,5.1530,1.8977,3.7655,4.8528,1.9188,3.7655,5.0866,1.8569,3.7655,4.8636,1.9188,3.7655,4.799,1.9188,3.7655,4.7953,1.9188,3.7655,5.1531,1.8977,3.7655,5.153,1.8977,3.7655,5.1539,1.8977,3.7655,4.7906,1.9188,3.7655,4.7987,1.9188,3.7655,4.7766,1.9188,3.7655
10106,5.4233,1.8977,3.7655,5.4224,1.8977,3.7655,5.4225,1.8977,3.7655,5.4222,1.8977,3.7655,5.4214,1.8977,3.7655,5.1089,1.9188,3.7655,5.3424,1.8569,3.7655,5.1198,1.9188,3.7655,5.0552,1.9188,3.7655,5.0515,1.9188,3.7655,5.4215,1.8977,3.7655,5.4214,1.8977,3.7655,5.4223,1.8977,3.7655,5.0468,1.9188,3.7655,5.0548,1.9188,3.7655,5.0328,1.9188,3.7655
10107,5.6591,1.8977,3.7655,5.6582,1.8977,3.7655,5.6583,1.8977,3.7655,5.6581,1.8977,3.7655,5.6572,1.8977,3.7655,5.3978,1.9188,3.7655,5.6307,1.8569,3.7655,5.4086,1.9188,3.7655,5.344,1.9188,3.7655,5.3403,1.9188,3.7655,5.6574,1.8977,3.7655,5.6572,1.8977,3.7655,5.6582,1.8977,3.7655,5.3356,1.9188,3.7655,5.3437,1.9188,3.7655,5.3216,1.9188,3.7655
10108,5.6588,1.8977,3.7655,5.6579,1.8977,3.7655,5.6581,1.8977,3.7655,5.6578,1.8977,3.7655,5.6569,1.8977,3.7655,5.4053,1.9188,3.7655,5.6383,1.8569,3.7655,5.4162,1.9188,3.7655,5.3516,1.9188,3.7655,5.3479,1.9188,3.7655,5.6571,1.8977,3.7655,5.6569,1.8977,3.7655,5.6579,1.8977,3.7655,5.3432,1.9188,3.7655,5.3512,1.9188,3.7655,5.3292,1.9188,3.7655
10109,5.6576,1.8977,3.7655,5.6567,1.8977,3.7655,5.6568,1.8977,3.7655,5.6566,1.8977,3.7655,5.6557,1.8977,3.7655,5.3528,1.9188,3.7655,5.5859,1.8569,3.7655,5.3637,1.9188,3.7655,5.2991,1.9188,3.7655,5.2954,1.9188,3.7655,5.6559,1.8977,3.7655,5.6557,1.8977,3.7655,5.6567,1.8977,3.7655,5.2907,1.9188,3.7655,5.2987,1.9188,3.7655,5.2767,1.9188,3.7655
10110,5.6563,1.8977,3.7655,5.6554,1.8977,3.7655,5.6555,1.8977,3.7655,5.6553,1.8977,3.7655,5.6544,1.8977,3.7655,5.3416,1.9188,3.7655,5.5747,1.8569,3.7655,5.3525,1.9188,3.7655,5.2879,1.9188,3.7655,5.2842,1.9188,3.7655,5.6546,1.8977,3.7655,5.6544,1.8977,3.7655,5.6554,1.8977,3.7655,5.2795,1.9188,3.7655,5.2875,1.9188,3.7655,5.2655,1.9188,3.7655
10111,5.6515,1.8977,3.7655,5.6506,1.8977,3.7655,5.6508,1.8977,3.7655,5.6505,1.8977,3.7655,5.6496,1.8977,3.7655,5.341,1.9188,3.7655,5.574,1.8569,3.7655,5.3518,1.9188,3.7655,5.2872,1.9188,3.7655,5.2835,1.9188,3.7655,5.6498,1.8977,3.7655,5.6496,1.8977,3.7655,5.6506,1.8977,3.7655,5.2788,1.9188,3.7655,5.2869,1.9188,3.7655,5.2648,1.9188,3.7655
