;,"2019 CEC COMMERCIAL TDV factors by climate zone, fuel and hour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Source:,,"(this file, sent via e-mail from BAW 7/3/16 - revision from KN 7/14/16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,SAC - 7/14/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10101,7.6394,2.2317,4.9261,7.5466,2.2317,4.9261,7.6067,2.2317,4.9261,7.5655,2.2317,4.9261,7.6149,2.2317,4.9261,7.3668,2.2532,4.9261,7.5027,2.1896,4.9261,7.2789,2.2532,4.9261,7.2510,2.2532,4.9261,7.2493,2.2532,4.9261,7.5550,2.2317,4.9261,7.5628,2.2317,4.9261,7.6015,2.2317,4.9261,7.3081,2.2532,4.9261,7.3276,2.2532,4.9261,7.6347,2.2532,4.9261
10102,7.5663,2.2317,4.9261,7.4736,2.2317,4.9261,7.5337,2.2317,4.9261,7.4924,2.2317,4.9261,7.5419,2.2317,4.9261,7.2773,2.2532,4.9261,7.4134,2.1896,4.9261,7.1895,2.2532,4.9261,7.1615,2.2532,4.9261,7.1598,2.2532,4.9261,7.4820,2.2317,4.9261,7.4897,2.2317,4.9261,7.5285,2.2317,4.9261,7.2186,2.2532,4.9261,7.2381,2.2532,4.9261,7.5452,2.2532,4.9261
10103,7.5234,2.2317,4.9261,7.4307,2.2317,4.9261,7.4908,2.2317,4.9261,7.4495,2.2317,4.9261,7.4990,2.2317,4.9261,7.2316,2.2532,4.9261,7.3679,2.1896,4.9261,7.1438,2.2532,4.9261,7.1159,2.2532,4.9261,7.1142,2.2532,4.9261,7.4391,2.2317,4.9261,7.4468,2.2317,4.9261,7.4856,2.2317,4.9261,7.1730,2.2532,4.9261,7.1925,2.2532,4.9261,7.4996,2.2532,4.9261
10104,7.5118,2.2317,4.9261,7.4190,2.2317,4.9261,7.4791,2.2317,4.9261,7.4379,2.2317,4.9261,7.4873,2.2317,4.9261,7.2238,2.2532,4.9261,7.3600,2.1896,4.9261,7.1359,2.2532,4.9261,7.1080,2.2532,4.9261,7.1063,2.2532,4.9261,7.4274,2.2317,4.9261,7.4352,2.2317,4.9261,7.4739,2.2317,4.9261,7.1651,2.2532,4.9261,7.1846,2.2532,4.9261,7.4917,2.2532,4.9261
10105,7.6011,2.2317,4.9261,7.5083,2.2317,4.9261,7.5684,2.2317,4.9261,7.5272,2.2317,4.9261,7.5766,2.2317,4.9261,7.3146,2.2532,4.9261,7.4507,2.1896,4.9261,7.2268,2.2532,4.9261,7.1988,2.2532,4.9261,7.1971,2.2532,4.9261,7.5168,2.2317,4.9261,7.5245,2.2317,4.9261,7.5632,2.2317,4.9261,7.2559,2.2532,4.9261,7.2754,2.2532,4.9261,7.5825,2.2532,4.9261
10106,7.6549,2.2317,4.9261,7.5621,2.2317,4.9261,7.6222,2.2317,4.9261,7.5810,2.2317,4.9261,7.6304,2.2317,4.9261,7.3902,2.2532,4.9261,7.5261,2.1896,4.9261,7.3024,2.2532,4.9261,7.2744,2.2532,4.9261,7.2727,2.2532,4.9261,7.5705,2.2317,4.9261,7.5783,2.2317,4.9261,7.6170,2.2317,4.9261,7.3316,2.2532,4.9261,7.3510,2.2532,4.9261,7.6582,2.2532,4.9261
10107,7.6907,2.2317,4.9261,7.5979,2.2317,4.9261,7.6580,2.2317,4.9261,7.6168,2.2317,4.9261,7.6662,2.2317,4.9261,7.4973,2.2532,4.9261,7.6330,2.1896,4.9261,7.4095,2.2532,4.9261,7.3815,2.2532,4.9261,7.3798,2.2532,4.9261,7.6063,2.2317,4.9261,7.6141,2.2317,4.9261,7.6528,2.2317,4.9261,7.4386,2.2532,4.9261,7.4581,2.2532,4.9261,7.7652,2.2532,4.9261
