;,CEC Title-24 Residential Compliance Ruleset,,,,,
;,Collection of tables based on Prescriptive Additions requirements,,,,,
;,Separate Tables based on topic (to minimize duplicate data),,,,,
;,Created:,,2/19/15 - em,,,
;,Last modified:,,9/21/15 - SAC,fix to PrescripAdditions_WoodExtWallCons table to reflect latest standard design wall requirements from the CEC,,
;,,,,,,
;,Source Data:,,Table from DAR residing in Prescriptive tab,,,
;,,,,,,
;,Mod history:,,,,,
;,,,,,,
;,Independents:,,(vary by individual table),,,
;,,1,"CodeBase - year of energy standard (2013, 2016…)",,,
;,,2,Addition Size,,,
;,,,CA Climate Zone (1-16),,,
;,,,(other topic-specific properties),,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_WoodExtWallCons,,,,,
,,CodeBase,ClimateZone,AdditionSize,FrameLayer,StdFrameExtWallCons
,,2013,*,>700,*,T24-2013 ExtWall 2x4 16oc R15 R4
,,2013,*,*,<500,T24-2008 ExtWall 2x4 16oc R13
,,2013,*,*,*,T24-2008 ExtWall 2x6 16oc R19
,,2016,6,*,*,T24-2016 ExtWall 2x4 16oc R15 R4
,,2016,7,*,*,T24-2016 ExtWall 2x4 16oc R15 R4
,,2016,*,*,*,T24-2016 ExtWall 2x6 16oc R19 R5
,ENDTABLE,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_CeilingBelowAtticCons,,,,,
,,CodeBase,ClimateZone,AdditionSize,CeilingBelowAtticCons,
,,2013,1,*,T24-2013 Ceiling 2x4 24oc R38,
,,2013,>=11,*,T24-2013 Ceiling 2x4 24oc R38,
,,2013,*,*,T24-2013 Ceiling 2x4 24oc R30,
,,2016,*,<=700,T24-2016 Ceiling 2x4 24oc R22,
,,2016,3,*,T24-2013 Ceiling 2x4 24oc R30,
,,2016,5,*,T24-2013 Ceiling 2x4 24oc R30,
,,2016,6,*,T24-2013 Ceiling 2x4 24oc R30,
,,2016,7,*,T24-2013 Ceiling 2x4 24oc R30,
,,2016,*,*,T24-2013 Ceiling 2x4 24oc R38,
,ENDTABLE,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_RoofDeckInsul,,,,,
,,CodeBase,ClimateZone,AdditionSize,RoofBelowDeckIns,
,,2013,*,*,- no insulation -,
,,2016,*,<=700,- no insulation -,
,,2016,1,*,- no insulation -,
,,2016,2,*,- no insulation -,
,,2016,3,*,- no insulation -,
,,2016,5,*,- no insulation -,
,,2016,6,*,- no insulation -,
,,2016,7,*,- no insulation -,
,,2016,*,*,R 13,
,ENDTABLE,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_RadiantBarrier,,,,,
,,CodeBase,ClimateZone,AdditionSize,RadiantBarrier,
,,2013,1,*,0,;  no addition size dependence in 2013
,,2013,16,*,0,
,,2013,*,*,1,
,,2016,1,<=700,0,
,,2016,16,<=700,0,
,,2016,*,<=700,1,
,,2016,2,*,1,
,,2016,3,*,1,
,,2016,5,*,1,
,,2016,6,*,1,
,,2016,7,*,1,
,,2016,*,*,0,
,ENDTABLE,,,,,
;,,,,,,
;,,,,,,
,TABLE  PrescripAdditions_MaxGlazingArea,,,,,
,,AdditionSize,MaxWinArea,MaxFracWinArea,,
,,>700,175,0.2,,
,,>400,120,0.25,,
,,*,75,0.3,,
,ENDTABLE,,,,,
